"Name","Team","Age","Off","Def","WAR","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","OPS","wRC+","HR/FB","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","playerid"
"Aristides Aquino","Reds","25","9.3","-1.8","0.9","15","55","10","14","19","0","7.3 %","25.5 %",".608",".296",".353",".400",".961","1.361","231","55.6 %","43.5 %","80.5 %","56.7 %","61.7 %","82.3 %","72.1 %","40.5 %","43.2 %","16.2 %","21.6 %","29.7 %","48.7 %","15482"
"Will Smith","Dodgers","24","12.0","2.9","1.7","25","89","10","17","28","1","10.1 %","24.7 %",".500",".326",".329",".404",".829","1.233","203","33.3 %","21.8 %","62.1 %","39.1 %","47.9 %","88.4 %","75.5 %","44.6 %","37.5 %","17.9 %","14.3 %","33.9 %","51.8 %","19197"
"Yordan Alvarez","Astros","22","22.3","-5.2","2.4","51","219","17","32","52","0","12.8 %","23.3 %",".349",".385",".339",".425",".688","1.112","189","31.5 %","32.1 %","63.9 %","44.3 %","65.7 %","85.2 %","76.5 %","41.7 %","35.3 %","23.0 %","9.4 %","41.7 %","48.9 %","19556"
"Mike Trout","Angels","27","64.0","1.5","8.1","117","525","41","98","94","10","18.5 %","19.4 %",".371",".299",".298",".444",".668","1.112","186","27.2 %","20.9 %","59.8 %","36.3 %","70.0 %","89.3 %","82.6 %","42.6 %","32.7 %","24.7 %","12.5 %","42.6 %","44.9 %","10155"
"Christian Yelich","Brewers","27","49.3","-2.8","6.0","108","481","39","83","85","23","12.5 %","20.6 %",".357",".343",".325",".416",".682","1.098","170","33.3 %","31.5 %","71.8 %","46.7 %","55.5 %","86.5 %","73.5 %","38.3 %","39.2 %","22.5 %","14.2 %","34.8 %","51.0 %","11477"
"Cody Bellinger","Dodgers","23","49.6","2.7","6.7","119","509","41","97","94","10","14.1 %","16.1 %",".353",".309",".319",".417",".672","1.089","173","27.3 %","26.6 %","70.3 %","44.1 %","70.6 %","82.7 %","78.3 %","49.9 %","31.2 %","19.0 %","11.9 %","37.4 %","50.7 %","15998"
"Bo Bichette","Blue Jays","21","6.4","-1.5","0.8","18","85","4","12","8","2","8.2 %","24.7 %",".308",".434",".346",".400",".654","1.054","174","22.2 %","37.6 %","73.1 %","51.3 %","68.8 %","78.6 %","74.2 %","40.4 %","33.3 %","26.3 %","8.8 %","49.1 %","42.1 %","19612"
"Nelson Cruz","Twins","38","28.2","-8.8","3.2","87","373","32","59","76","0","11.0 %","27.1 %",".356",".330",".294",".384",".650","1.035","163","34.4 %","30.0 %","71.3 %","45.3 %","53.8 %","80.4 %","69.3 %","43.5 %","30.9 %","25.6 %","11.7 %","33.6 %","54.7 %","2434"
"Alex Dickerson","- - -","29","8.9","-2.3","1.0","45","124","6","23","26","1","7.3 %","22.6 %",".298",".400",".333",".387",".632","1.019","160","18.8 %","32.3 %","73.5 %","50.0 %","63.1 %","87.5 %","78.5 %","38.4 %","36.1 %","25.6 %","14.0 %","43.0 %","43.0 %","12649"
"Anthony Rendon","Nationals","29","33.0","2.5","4.9","107","467","26","86","94","2","10.1 %","14.1 %",".288",".325",".320",".400",".608","1.008","152","16.4 %","24.0 %","71.1 %","44.0 %","77.5 %","92.4 %","87.7 %","41.1 %","32.7 %","26.2 %","16.6 %","37.3 %","46.1 %","12861"
