"Name","Team","Age","GS","IP","ERA","WHIP","FIP","E-F","xFIP","SwStr%","K/9","BB/9","K/BB","BABIP","LOB%","HR/FB","GB/FB","playerid"
"Kirby Yates","Padres","32","0","48.0","1.13","0.85","1.03","0.09","2.09","15.8 %","14.44","1.69","8.56",".320","79.8 %","3.1 %","1.44","9073"
"Jacob Webb","Braves","25","0","32.1","1.39","1.11","4.30","-2.91","5.16","13.1 %","7.79","3.34","2.33",".233","86.0 %","10.0 %","0.85","19274"
"Casey Sadler","- - -","28","0","31.2","1.42","1.01","4.07","-2.65","5.01","8.0 %","5.40","2.56","2.11",".223","90.4 %","7.1 %","1.79","11209"
"Hyun-Jin Ryu","Dodgers","32","22","142.2","1.45","0.93","2.85","-1.40","3.31","11.2 %","7.63","1.07","7.12",".264","87.7 %","10.2 %","2.11","14444"
"Liam Hendriks","Athletics","30","2","64.1","1.54","1.01","1.87","-0.33","3.66","15.7 %","12.31","2.66","4.63",".310","87.2 %","2.8 %","0.59","3548"
"Aaron Bummer","White Sox","25","0","49.0","1.65","0.96","3.14","-1.48","3.46","9.5 %","7.71","2.76","2.80",".238","84.8 %","9.5 %","4.24","16258"
"Adam Ottavino","Yankees","33","0","53.0","1.70","1.32","3.28","-1.58","4.14","11.6 %","12.57","5.43","2.31",".298","91.7 %","8.2 %","0.90","1247"
"Felipe Vazquez","Pirates","27","0","47.2","1.70","1.03","1.92","-0.22","2.65","14.3 %","13.78","2.27","6.08",".337","87.9 %","8.1 %","1.11","12076"
"Will Harris","Astros","34","0","47.0","1.72","1.02","3.43","-1.71","3.24","11.9 %","8.43","2.11","4.00",".260","85.4 %","17.9 %","2.54","3192"
"Ken Giles","Blue Jays","28","0","39.0","1.85","1.08","1.94","-0.09","2.67","19.9 %","14.77","3.00","4.92",".338","90.0 %","8.8 %","0.91","12910"
"Tyler Glasnow","Rays","25","8","48.1","1.86","0.91","2.31","-0.45","2.99","12.0 %","10.24","1.68","6.11",".276","82.9 %","8.3 %","1.69","14374"
"Giovanny Gallegos","Cardinals","27","0","56.0","1.93","0.71","2.38","-0.45","3.28","17.3 %","12.38","1.77","7.00",".216","86.1 %","8.6 %","0.60","14986"
"Emilio Pagan","Rays","28","0","50.2","1.95","0.87","3.14","-1.19","3.05","17.1 %","12.79","2.13","6.00",".235","97.6 %","16.0 %","0.80","14771"
"Brandon Workman","Red Sox","30","0","55.0","1.96","1.00","2.53","-0.56","3.45","12.5 %","12.27","5.24","2.34",".202","78.8 %","3.1 %","1.69","11428"
"Hunter Wood","- - -","25","2","34.2","2.08","1.10","3.74","-1.66","4.83","13.2 %","7.53","1.82","4.14",".265","80.8 %","8.9 %","0.76","15091"
"Zack Britton","Yankees","31","0","50.2","2.13","1.22","4.11","-1.98","3.81","10.5 %","7.46","5.15","1.45",".227","86.7 %","25.0 %","8.83","3240"
"Scott Oberg","Rockies","29","0","56.0","2.25","1.11","3.54","-1.29","3.91","12.3 %","9.32","3.70","2.52",".248","80.0 %","11.6 %","1.58","13911"
"Alex Colome","White Sox","30","0","47.0","2.30","0.98","3.84","-1.54","4.60","12.7 %","7.66","3.64","2.11",".187","71.8 %","9.1 %","1.39","6661"
"Aroldis Chapman","Yankees","31","0","48.2","2.40","1.17","2.25","0.15","2.87","13.6 %","13.13","4.07","3.23",".306","74.3 %","7.1 %","1.68","10233"
"Mike Soroka","Braves","21","22","134.2","2.41","1.10","3.29","-0.89","3.91","10.5 %","7.15","2.21","3.24",".276","80.0 %","8.5 %","2.21","18383"
"Max Scherzer","Nationals","34","20","134.1","2.41","0.99","2.09","0.32","2.84","17.1 %","12.66","1.67","7.56",".322","80.2 %","8.6 %","1.12","3137"
"Shane Greene","- - -","30","0","43.1","2.49","1.11","4.14","-1.65","3.88","11.1 %","9.97","2.91","3.43",".248","79.1 %","17.5 %","1.48","10756"
