last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Guerrero Jr., Vladimir,665489,314,6.7,31.8,118.9,89.7,93.9,87.7,451,160,418,128,40.8,27,8.6,6.3
Aquino, Aristides,606157,80,20.2,38.8,118.3,87.1,95.2,80.7,452,197,406,31,38.8,14,17.5,11.7
Alonso, Pete,624413,352,14.0,37.8,118.3,90.7,96.2,85.7,474,188,413,144,41.6,55,15.6,9.5
Sanchez, Gary,596142,258,19.3,34.1,118.3,91.2,95.9,86.4,481,209,417,107,41.5,49,19.0,11.9
Judge, Aaron,592450,194,10.6,39.2,118.1,96.4,99.6,92.9,467,192,399,114,58.8,39,20.1,10.9
Yelich, Christian,592885,356,10.7,32.3,117.9,93.2,97.0,90.4,462,182,407,172,48.7,55,15.4,10.1
Schwarber, Kyle,656941,316,15.6,33.2,117.6,92.3,97.0,89.1,473,196,406,157,50.0,42,13.3,8.3
Cruz, Nelson,443558,265,14.3,39.2,117.0,94.0,99.2,89.7,473,203,411,139,52.5,56,21.1,13.1
Trout, Mike,545361,344,22.0,44.2,116.6,90.7,94.9,84.4,473,233,417,149,44.1,64,18.6,10.9
Marte, Ketel,606466,439,11.5,33.9,116.3,89.9,93.2,87.7,482,172,408,176,40.1,38,8.7,6.7
Garcia, Avisail,541645,316,10.4,33.5,116.2,89.8,94.7,87.8,471,164,414,129,40.8,37,11.7,8.0
Bell, Josh,605137,391,12.2,35.0,116.2,92.6,96.2,90.1,474,185,412,181,47.0,51,13.0,8.9
Zunino, Mike,572287,153,18.9,28.1,116.1,88.6,97.2,83.6,455,176,428,59,38.6,18,11.8,6.7
Tatis Jr., Fernando,665487,227,6.9,33.5,115.9,89.6,95.8,84.3,468,164,405,100,44.1,30,13.2,8.1
Cron, C.J.,543068,316,13.0,35.4,115.9,91.1,96.2,87.4,453,189,405,141,45.0,49,15.5,11.1
Acuna Jr., Ronald,660670,397,13.6,38.3,115.9,90.2,95.2,84.9,466,185,419,180,45.3,57,14.4,9.0
Moncada, Yoan,660162,286,12.7,38.5,115.8,92.7,96.0,90.6,462,188,403,135,47.2,37,12.9,8.2
Soler, Jorge,624585,351,15.2,31.9,115.6,92.5,97.2,89.0,465,194,412,172,49.0,57,16.2,9.9
Gomez, Carlos,460576,59,16.4,30.5,115.6,83.6,91.4,77.1,408,168,399,19,33.3,7,11.9,7.1
Harper, Bryce,547180,335,12.3,37.9,115.5,91.4,97.3,85.2,466,191,412,156,46.6,49,14.6,8.4
Gallo, Joey,608336,129,20.3,36.4,115.4,93.0,101.2,78.3,467,231,419,67,52.3,34,26.4,11.4
Meadows, Austin,640457,330,17.1,36.7,115.4,90.6,95.0,86.3,447,205,400,142,43.0,39,11.8,8.0
Ozuna, Marcell,542303,299,14.1,33.1,115.3,92.4,97.3,88.3,455,184,403,150,51.7,40,13.4,9.2
Tellez, Rowdy,642133,211,14.0,37.0,115.2,89.7,94.1,85.3,449,188,404,80,38.1,25,11.8,7.6
Naylor, Josh,647304,145,2.3,28.3,115.1,88.9,93.0,87.5,448,134,402,48,33.1,10,6.9,4.9
Dozier, Hunter,641531,323,16.6,36.5,115.1,91.8,94.5,90.0,453,207,401,141,43.7,35,10.8,7.2
Ohtani, Shohei,660271,262,5.9,32.4,115.1,92.6,96.7,89.0,447,160,407,121,46.2,32,12.2,8.2
Devers, Rafael,646240,457,9.5,34.4,115.0,92.6,96.8,89.5,458,178,403,221,48.5,43,9.4,7.2
