last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Bauer, Trevor,545333,2019,806,491,.234,.229,.005,.428,.395,.033,.323,.316,.007
Lynn, Lance,458681,2019,746,487,.249,.236,.013,.386,.364,.022,.298,.289,.009
Gonzales, Marco,594835,2019,733,555,.273,.259,.014,.426,.410,.016,.318,.316,.002
Verlander, Justin,434378,2019,732,433,.166,.182,-.016,.358,.345,.013,.242,.248,-.006
Nola, Aaron,605400,2019,727,459,.226,.227,-.001,.376,.367,.009,.296,.297,-.001
Bieber, Shane,669456,2019,722,456,.217,.236,-.019,.381,.402,-.021,.275,.296,-.021
Strasburg, Stephen,544931,2019,722,455,.216,.207,.009,.353,.324,.029,.268,.259,.009
Marquez, German,608566,2019,721,506,.259,.267,-.008,.441,.439,.002,.315,.323,-.008
Minor, Mike,501985,2019,717,478,.238,.225,.013,.373,.365,.008,.294,.292,.002
Berrios, Jose,621244,2019,712,499,.251,.240,.011,.402,.404,-.002,.304,.303,.001
Bumgarner, Madison,518516,2019,711,489,.239,.247,-.008,.407,.416,-.009,.294,.306,-.012
Corbin, Patrick,571578,2019,709,451,.222,.226,-.004,.359,.393,-.034,.277,.297,-.020
Keller, Brad,641745,2019,709,508,.247,.260,-.013,.381,.406,-.025,.310,.330,-.020
Leake, Mike,502190,2019,707,565,.289,.290,-.001,.507,.500,.007,.347,.349,-.002
Junis, Jakob,596001,2019,703,489,.271,.266,.005,.461,.460,.001,.339,.343,-.004
Rodriguez, Eduardo,593958,2019,703,476,.258,.240,.018,.406,.394,.012,.317,.310,.007
Greinke, Zack,425844,2019,693,502,.230,.232,-.002,.373,.373,.000,.272,.278,-.006
Morton, Charlie,450203,2019,693,425,.217,.219,-.002,.342,.333,.009,.274,.275,-.001
Boyd, Matthew,571510,2019,693,423,.238,.217,.021,.460,.395,.065,.317,.292,.025
Nova, Ivan,467100,2019,692,546,.294,.290,.004,.476,.459,.017,.347,.347,.000
Wheeler, Zack,554430,2019,689,482,.262,.252,.010,.402,.402,.000,.303,.308,-.005
Lopez, Reynaldo,625643,2019,679,476,.279,.259,.020,.483,.457,.026,.353,.341,.012
Castillo, Luis,622491,2019,678,408,.207,.203,.004,.352,.324,.028,.283,.276,.007
Teheran, Julio,527054,2019,676,443,.226,.235,-.009,.364,.386,-.022,.303,.318,-.015
Syndergaard, Noah,592789,2019,676,467,.250,.225,.025,.401,.344,.057,.300,.275,.025
deGrom, Jacob,594798,2019,676,418,.214,.210,.004,.338,.322,.016,.261,.257,.004
Fiers, Mike,571666,2019,667,499,.235,.254,-.019,.378,.422,-.044,.294,.323,-.029
Alcantara, Sandy,645261,2019,667,472,.244,.241,.003,.405,.406,-.001,.319,.323,-.004
Cole, Gerrit,543037,2019,665,370,.197,.191,.006,.362,.324,.038,.262,.250,.012
Mikolas, Miles,571945,2019,664,506,.272,.280,-.008,.444,.439,.005,.319,.329,-.010
Porcello, Rick,519144,2019,660,497,.277,.256,.021,.482,.465,.017,.342,.330,.012
Anderson, Brett,474463,2019,659,533,.262,.283,-.021,.406,.464,-.058,.311,.347,-.036
Giolito, Lucas,608337,2019,656,387,.207,.211,-.004,.367,.351,.016,.279,.280,-.001
Musgrove, Joe,605397,2019,654,474,.258,.252,.006,.452,.424,.028,.320,.313,.007
Stroman, Marcus,573186,2019,654,474,.259,.246,.013,.393,.370,.023,.306,.295,.011
Tanaka, Masahiro,547888,2019,653,486,.254,.253,.001,.445,.410,.035,.315,.309,.006
Miley, Wade,489119,2019,651,458,.232,.230,.002,.377,.354,.023,.294,.289,.005
Kelly, Merrill,518876,2019,650,478,.271,.278,-.007,.472,.494,-.022,.335,.352,-.017
Gibson, Kyle,502043,2019,646,448,.267,.261,.006,.424,.414,.010,.323,.321,.002
Ray, Robbie,592662,2019,646,373,.233,.228,.005,.432,.413,.019,.320,.319,.001
Quintana, Jose,500779,2019,645,465,.263,.260,.003,.416,.408,.008,.308,.313,-.005
Hudson, Dakota,641712,2019,645,454,.259,.272,-.013,.420,.422,-.002,.329,.342,-.013
Samardzija, Jeff,502188,2019,643,466,.224,.245,-.021,.408,.443,-.035,.293,.321,-.028
Gray, Jon,592351,2019,637,427,.259,.266,-.007,.437,.413,.024,.326,.325,.001
Lester, Jon,452657,2019,637,454,.286,.282,.004,.462,.462,.000,.340,.346,-.006
Kikuchi, Yusei,579328,2019,636,480,.286,.271,.015,.529,.452,.077,.365,.338,.027
Darvish, Yu,506433,2019,633,387,.216,.226,-.010,.426,.403,.023,.308,.307,.001
Perez, Martin,527048,2019,629,447,.273,.238,.035,.427,.364,.063,.332,.299,.033
Ryu, Hyun-Jin,547943,2019,626,465,.238,.253,-.015,.369,.368,.001,.271,.283,-.012
Buehler, Walker,621111,2019,620,401,.222,.224,-.002,.358,.356,.002,.268,.272,-.004
Flaherty, Jack,656427,2019,619,388,.211,.223,-.012,.377,.377,.000,.282,.292,-.010
Gray, Sonny,543243,2019,614,376,.201,.212,-.011,.325,.348,-.023,.269,.286,-.017
Sale, Chris,519242,2019,612,344,.221,.213,.008,.412,.367,.045,.298,.283,.015
Fried, Max,608331,2019,611,413,.275,.251,.024,.420,.365,.055,.322,.296,.026
Kershaw, Clayton,477132,2019,609,407,.219,.237,-.018,.389,.390,-.001,.280,.294,-.014
Hendricks, Kyle,543294,2019,608,445,.245,.243,.002,.407,.393,.014,.298,.297,.001
Roark, Tanner,543699,2019,608,417,.267,.265,.002,.431,.431,.000,.329,.332,-.003
Sanchez, Aaron,592717,2019,605,410,.278,.264,.014,.457,.427,.030,.356,.345,.011
Bailey, Homer,456701,2019,604,424,.262,.269,-.007,.419,.420,-.001,.320,.329,-.009
Lucchesi, Joey,664192,2019,598,414,.228,.235,-.007,.392,.392,.000,.294,.304,-.010
Bundy, Dylan,605164,2019,598,406,.259,.241,.018,.472,.399,.073,.337,.311,.026
Arrieta, Jake,453562,2019,594,426,.283,.266,.017,.448,.438,.010,.342,.336,.006
Wainwright, Adam,425794,2019,594,399,.272,.255,.017,.447,.409,.038,.339,.324,.015
Happ, J.A.,457918,2019,594,426,.264,.254,.010,.484,.441,.043,.342,.327,.015
Soroka, Mike,647336,2019,591,437,.234,.256,-.022,.311,.360,-.049,.264,.294,-.030
Sanchez, Anibal,434671,2019,588,417,.238,.251,-.013,.392,.382,.010,.298,.304,-.006
Eflin, Zach,621107,2019,584,435,.270,.254,.016,.456,.418,.038,.329,.314,.015
Davies, Zach,605200,2019,581,446,.270,.286,-.016,.438,.458,-.020,.328,.345,-.017
Thornton, Trent,663423,2019,577,400,.276,.266,.010,.474,.435,.039,.347,.334,.013
Cashner, Andrew,488768,2019,577,427,.251,.268,-.017,.415,.463,-.048,.317,.347,-.030
Pineda, Michael,501381,2019,576,415,.256,.256,.000,.435,.430,.005,.307,.313,-.006
DeSclafani, Anthony,543101,2019,574,391,.253,.242,.011,.448,.408,.040,.320,.308,.012
Matz, Steven,571927,2019,572,401,.260,.255,.005,.453,.445,.008,.324,.323,.001
Scherzer, Max,453286,2019,572,337,.220,.201,.019,.352,.324,.028,.266,.250,.016
Odorizzi, Jake,543606,2019,572,374,.235,.233,.002,.379,.395,-.016,.298,.306,-.008
Lauer, Eric,641778,2019,566,408,.276,.250,.026,.444,.413,.031,.330,.311,.019
Maeda, Kenta,628317,2019,565,365,.206,.215,-.009,.369,.333,.036,.279,.274,.005
Norris, Daniel,596057,2019,554,404,.281,.266,.015,.489,.472,.017,.347,.340,.007
Turnbull, Spencer,605513,2019,554,373,.264,.256,.008,.419,.417,.002,.333,.334,-.001
German, Domingo,593334,2019,550,372,.233,.244,-.011,.454,.434,.020,.312,.314,-.002
Bassitt, Chris,605135,2019,550,377,.227,.235,-.008,.398,.383,.015,.303,.305,-.002
Vargas, Jason,450306,2019,545,391,.245,.238,.007,.414,.409,.005,.316,.314,.002
Hamels, Cole,430935,2019,542,369,.256,.253,.003,.399,.408,-.009,.311,.322,-.011
Paxton, James,572020,2019,535,329,.258,.233,.025,.458,.378,.080,.335,.303,.032
Richards, Trevor,670950,2019,534,356,.249,.235,.014,.431,.397,.034,.325,.314,.011
Sampson, Adrian,592716,2019,527,390,.304,.292,.012,.571,.521,.050,.390,.373,.017
Archer, Chris,502042,2019,526,324,.249,.259,-.010,.461,.457,.004,.338,.346,-.008
Smith, Caleb,592761,2019,525,325,.210,.220,-.010,.445,.446,-.001,.309,.318,-.009
Williams, Trevor,592866,2019,519,391,.283,.276,.007,.502,.467,.035,.348,.342,.006
Means, John,607644,2019,516,379,.235,.238,-.003,.410,.405,.005,.299,.304,-.005
Paddack, Chris,663978,2019,507,345,.212,.224,-.012,.398,.387,.011,.282,.288,-.006
Chirinos, Yonny,630023,2019,504,363,.225,.256,-.031,.398,.431,-.033,.286,.318,-.032
Sparkman, Glenn,642098,2019,504,398,.293,.289,.004,.511,.488,.023,.363,.359,.004
Anderson, Chase,502624,2019,498,343,.247,.248,-.001,.463,.413,.050,.332,.321,.011
LeBlanc, Wade,453281,2019,494,384,.284,.273,.011,.527,.475,.052,.356,.338,.018
Jurado, Ariel,642558,2019,493,380,.292,.288,.004,.502,.495,.007,.354,.361,-.007
Lyles, Jordan,543475,2019,491,321,.248,.233,.015,.467,.411,.056,.333,.311,.022
Wacha, Michael,608379,2019,488,343,.286,.269,.017,.514,.474,.040,.366,.352,.014
Woodruff, Brandon,605540,2019,480,310,.247,.239,.008,.367,.365,.002,.290,.290,.000
Senzatela, Antonio,622608,2019,468,361,.316,.299,.017,.504,.462,.042,.378,.362,.016
Duffy, Danny,518633,2019,461,325,.270,.262,.008,.470,.449,.021,.344,.339,.005
Mahle, Tyler,641816,2019,460,318,.261,.246,.015,.434,.410,.024,.319,.308,.011
Price, David,456034,2019,458,295,.258,.240,.018,.441,.409,.032,.323,.307,.016
Freeland, Kyle,607536,2019,452,335,.295,.290,.005,.560,.489,.071,.379,.361,.018
Strahm, Matt,621381,2019,445,310,.269,.263,.006,.485,.476,.009,.337,.334,.003
Yarbrough, Ryan,642232,2019,445,326,.204,.243,-.039,.344,.356,-.012,.249,.276,-.027
Lopez, Jorge,605347,2019,439,299,.283,.275,.008,.509,.502,.007,.364,.368,-.004
Sabathia, CC,282332,2019,435,299,.265,.238,.027,.528,.409,.119,.361,.312,.049
Beeks, Jalen,656222,2019,434,307,.282,.272,.010,.444,.436,.008,.342,.340,.002
Beede, Tyler,595881,2019,424,291,.286,.263,.023,.495,.471,.024,.363,.353,.010
Velasquez, Vince,592826,2019,415,270,.252,.240,.012,.493,.449,.044,.344,.329,.015
Brault, Steven,643230,2019,414,286,.253,.259,-.006,.397,.419,-.022,.320,.334,-.014
Snell, Blake,605483,2019,413,241,.242,.204,.038,.396,.321,.075,.304,.263,.041
Brooks, Aaron,605156,2019,412,302,.278,.268,.010,.519,.477,.042,.363,.349,.014
Smyly, Drew,592767,2019,412,274,.289,.274,.015,.600,.530,.070,.403,.380,.023
Pomeranz, Drew,519141,2019,409,248,.273,.241,.032,.487,.412,.075,.360,.326,.034
Gausman, Kevin,592332,2019,409,273,.284,.258,.026,.460,.438,.022,.339,.327,.012
Pena, Felix,570240,2019,407,266,.219,.251,-.032,.402,.425,-.023,.301,.327,-.026
Godley, Zack,643327,2019,407,289,.271,.274,-.003,.469,.462,.007,.351,.359,-.008
Cahill, Trevor,502239,2019,406,297,.279,.271,.008,.556,.470,.086,.376,.349,.027
Chacin, Jhoulys,468504,2019,403,279,.282,.276,.006,.499,.450,.049,.363,.351,.012
Pivetta, Nick,601713,2019,398,277,.284,.268,.016,.520,.459,.061,.365,.348,.017
Anderson, Shaun,641312,2019,391,297,.296,.299,-.003,.473,.470,.003,.355,.359,-.004
Zimmermann, Jordan,519455,2019,387,294,.292,.294,-.002,.490,.494,-.004,.349,.360,-.011
Canning, Griffin,656288,2019,384,250,.235,.217,.018,.431,.382,.049,.316,.297,.019
Foltynewicz, Mike,592314,2019,384,272,.272,.267,.005,.519,.464,.055,.358,.343,.015
Ynoa, Gabriel,593679,2019,383,302,.271,.275,-.004,.514,.504,.010,.348,.353,-.005
Milone, Tommy,543548,2019,383,284,.253,.255,-.002,.513,.468,.045,.330,.324,.006
Plesac, Zach,668676,2019,377,271,.233,.269,-.036,.445,.457,-.012,.321,.346,-.025
Montas, Frankie,593423,2019,371,249,.233,.232,.001,.366,.350,.016,.280,.277,.003
Peacock, Brad,502748,2019,370,242,.228,.217,.011,.423,.382,.041,.308,.295,.013
Houser, Adrian,605288,2019,362,241,.251,.226,.025,.412,.353,.059,.314,.288,.026
Plutko, Adam,592644,2019,361,282,.257,.260,-.003,.494,.437,.057,.333,.318,.015
Keuchel, Dallas,572971,2019,361,257,.263,.261,.002,.430,.410,.020,.330,.327,.003
Quantrill, Cal,615698,2019,356,260,.239,.255,-.016,.391,.407,-.016,.293,.311,-.018
Rodriguez, Dereck,605446,2019,355,273,.269,.281,-.012,.480,.460,.020,.346,.350,-.004
Lopez, Pablo,641154,2019,352,248,.245,.238,.007,.421,.399,.022,.308,.302,.006
Gaviglio, Sam,543208,2019,351,251,.235,.235,.000,.437,.416,.021,.304,.301,.003
Holland, Derek,502706,2019,346,225,.258,.235,.023,.505,.477,.028,.360,.348,.012
Lambert, Peter,663567,2019,344,266,.308,.296,.012,.562,.468,.094,.388,.356,.032
Peralta, Freddy,642547,2019,344,212,.267,.233,.034,.485,.421,.064,.353,.320,.033
Hess, David,605276,2019,343,249,.288,.292,-.004,.625,.584,.041,.401,.396,.005
Clevinger, Mike,605182,2019,339,188,.210,.204,.006,.326,.316,.010,.264,.261,.003
Chavez, Jesse,445926,2019,337,238,.267,.271,-.004,.463,.459,.004,.335,.341,-.006
Skaggs, Tyler,572140,2019,335,227,.242,.260,-.018,.381,.412,-.031,.300,.322,-.022
Stripling, Ross,548389,2019,326,227,.243,.228,.015,.425,.366,.059,.302,.282,.020
Urena, Jose,570632,2019,325,249,.286,.281,.005,.458,.447,.011,.338,.335,.003
Stratton, Chris,608717,2019,323,228,.305,.264,.041,.521,.422,.099,.376,.328,.048
McHugh, Collin,543521,2019,317,201,.221,.232,-.011,.432,.387,.045,.312,.307,.005
Heaney, Andrew,571760,2019,317,196,.230,.223,.007,.415,.388,.027,.306,.299,.007
Clarke, Taylor,664199,2019,311,228,.271,.271,.000,.549,.505,.044,.368,.360,.008
Fedde, Erick,607200,2019,305,236,.283,.300,-.017,.468,.488,-.020,.351,.372,-.021
Lorenzen, Michael,547179,2019,303,201,.230,.222,.008,.367,.330,.037,.289,.277,.012
Guerra, Junior,448855,2019,301,197,.180,.214,-.034,.333,.346,-.013,.267,.291,-.024
Ramirez, Nick,598286,2019,300,210,.252,.244,.008,.444,.422,.022,.324,.320,.004
