"Name","Team","Age","GS","IP","ERA","WHIP","FIP","E-F","xFIP","SwStr%","K/9","BB/9","K/BB","BABIP","LOB%","HR/FB","GB/FB","playerid"
"Kirby Yates","Padres","32","0","57.2","1.25","0.90","1.27","-0.02","2.17","15.7 %","14.98","1.87","8.00",".330","79.7 %","5.1 %","1.44","9073"
"Jacob Webb","Braves","25","0","32.1","1.39","1.11","4.30","-2.90","5.15","13.1 %","7.79","3.34","2.33",".233","86.0 %","10.0 %","0.85","19274"
"Liam Hendriks","Athletics","30","2","77.1","1.63","0.94","1.80","-0.18","3.27","17.2 %","13.03","2.21","5.89",".307","87.9 %","4.8 %","0.59","3548"
"Will Harris","Astros","34","0","54.2","1.65","0.99","3.31","-1.66","3.08","12.2 %","9.22","2.14","4.31",".257","87.7 %","18.2 %","2.33","3192"
"Felipe Vazquez","Pirates","27","0","58.0","1.71","0.93","2.16","-0.46","2.65","14.3 %","13.50","1.86","7.25",".308","90.2 %","10.6 %","1.06","12076"
"Adam Ottavino","Yankees","33","0","61.1","1.76","1.26","3.49","-1.73","4.31","11.1 %","11.89","5.28","2.25",".271","91.7 %","8.6 %","0.88","1247"
"Aaron Civale","Indians","24","8","46.2","1.93","1.05","2.98","-1.05","4.55","9.2 %","7.33","2.31","3.17",".267","78.4 %","4.0 %","1.04","19479"
"Casey Sadler","- - -","28","0","41.2","1.94","1.08","4.13","-2.18","4.69","8.4 %","6.05","2.16","2.80",".252","89.9 %","10.5 %","1.66","11209"
"Ken Giles","Blue Jays","28","0","45.0","2.00","1.07","2.13","-0.13","2.74","19.4 %","14.60","3.00","4.87",".330","89.6 %","10.0 %","0.85","12910"
"Zack Britton","Yankees","31","0","56.1","2.08","1.22","4.00","-1.92","3.83","10.0 %","7.51","5.11","1.47",".231","86.6 %","20.0 %","7.60","3240"
"Brandon Workman","Red Sox","30","0","63.0","2.14","1.03","2.52","-0.37","3.38","12.7 %","12.86","5.57","2.31",".208","77.7 %","2.9 %","1.79","11428"
"Tyler Glasnow","Rays","25","9","50.1","2.15","0.93","2.52","-0.37","2.99","12.1 %","10.73","1.97","5.45",".274","82.1 %","10.5 %","1.61","14374"
"Emilio Pagan","Rays","28","0","61.2","2.19","0.83","3.25","-1.06","3.20","17.1 %","12.41","1.90","6.54",".222","94.7 %","15.6 %","0.72","14771"
"Aaron Bummer","White Sox","25","0","57.0","2.21","1.04","3.64","-1.42","3.63","10.3 %","7.89","3.32","2.38",".234","83.3 %","15.4 %","3.96","16258"
"Shane Greene","- - -","30","0","56.1","2.24","0.99","3.62","-1.39","3.77","11.7 %","9.75","2.56","3.81",".236","78.8 %","14.0 %","1.44","10756"
"Scott Oberg","Rockies","29","0","56.0","2.25","1.11","3.54","-1.29","3.90","12.3 %","9.32","3.70","2.52",".248","80.0 %","11.6 %","1.58","13911"
"Giovanny Gallegos","Cardinals","27","0","63.1","2.27","0.79","2.76","-0.48","3.43","17.0 %","11.94","1.85","6.46",".227","85.7 %","10.4 %","0.69","14986"
"Aroldis Chapman","Yankees","31","0","53.2","2.35","1.14","2.45","-0.10","3.02","13.9 %","13.25","4.19","3.16",".287","76.1 %","8.6 %","1.37","10233"
"Hyun-Jin Ryu","Dodgers","32","26","161.2","2.45","1.06","3.18","-0.73","3.45","11.2 %","7.91","1.34","5.92",".285","81.2 %","12.5 %","1.93","14444"
"Taylor Rogers","Twins","28","0","62.1","2.45","1.03","2.88","-0.42","3.05","10.7 %","11.55","1.44","8.00",".315","88.0 %","13.7 %","1.45","13449"
"Julio Urias","Dodgers","22","8","72.2","2.48","1.09","3.54","-1.07","4.37","13.6 %","9.17","2.85","3.22",".258","77.9 %","9.2 %","0.97","14765"
"Hansel Robles","Angels","28","1","65.1","2.48","1.04","2.88","-0.40","4.05","11.9 %","9.09","2.07","4.40",".284","82.0 %","7.0 %","0.90","11801"
"Justin Wilson","Mets","31","0","32.2","2.48","1.26","3.98","-1.50","3.67","12.8 %","9.92","3.58","2.77",".296","88.2 %","19.0 %","1.95","4301"
"Alex Colome","White Sox","30","0","54.0","2.50","1.00","3.94","-1.44","4.72","12.5 %","7.67","3.50","2.19",".197","70.8 %","9.3 %","1.24","6661"
"Brandon Kintzler","Cubs","34","0","54.0","2.50","0.98","3.60","-1.10","3.84","8.2 %","7.67","2.17","3.54",".243","81.6 %","12.8 %","2.15","9939"
"Zac Gallen","- - -","23","13","68.1","2.50","1.23","3.35","-0.84","4.14","13.0 %","10.80","4.21","2.56",".290","84.0 %","8.3 %","1.07","19291"
"Ryan Pressly","Astros","30","0","50.1","2.50","0.93","2.84","-0.33","2.32","17.3 %","11.62","1.97","5.91",".261","82.9 %","23.1 %","2.35","7005"
"Justin Verlander","Astros","36","30","200.0","2.52","0.77","3.35","-0.83","3.30","16.0 %","11.88","1.62","7.33",".204","89.6 %","15.6 %","0.75","8700"
"Tyler Clippard","Indians","34","2","56.2","2.54","0.81","3.30","-0.76","4.65","13.8 %","9.53","2.06","4.62",".211","80.4 %","7.0 %","0.66","5640"
"Rich Hill","Dodgers","39","10","53.0","2.55","1.11","4.16","-1.61","3.36","10.4 %","10.36","2.04","5.08",".280","89.4 %","22.7 %","1.50","4806"
"Tyler Duffey","Twins","28","0","49.1","2.55","1.09","3.23","-0.68","3.17","14.4 %","12.59","2.55","4.93",".284","75.8 %","15.9 %","1.00","13758"
"Max Scherzer","Nationals","34","24","154.2","2.56","1.00","2.32","0.24","2.91","16.7 %","12.57","1.75","7.20",".316","80.8 %","10.1 %","1.09","3137"
"Josh Hader","Brewers","25","0","66.0","2.59","0.79","3.06","-0.47","2.37","22.8 %","16.50","2.45","6.72",".219","92.4 %","21.0 %","0.39","14212"
"Mike Soroka","Braves","21","26","158.2","2.67","1.11","3.50","-0.84","3.86","10.0 %","7.15","2.04","3.50",".279","80.1 %","11.5 %","2.12","18383"
