"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Kirby Yates","Padres","14.36","1.93","7.44","0.21","41.4 %","5.6 %","35.8 %",".167","0.81",".293","81.5 %","25","27","51","1.07","1.19","-0.12","2.24","2.05","9073"
"Ken Giles","Blue Jays","15.19","2.81","5.40","0.56","42.2 %","7.8 %","34.4 %",".203","1.06",".355","89.7 %","37","35","55","1.69","1.59","0.10","2.50","2.23","12910"
"Matt Moore","Tigers","8.10","0.90","9.00","0.00","27.3 %","3.0 %","24.2 %",".094","0.40",".130","100.0 %","0","37","67","0.00","1.71","-1.71","3.10","3.23","1890"
"Max Scherzer","Nationals","12.60","1.60","7.87","0.63","35.2 %","4.5 %","30.7 %",".214","0.98",".322","80.7 %","51","46","64","2.30","2.02","0.28","2.82","2.86","3137"
"Liam Hendriks","Athletics","11.25","2.94","3.82","0.17","31.9 %","8.3 %","23.5 %",".189","1.00",".286","89.4 %","27","46","88","1.21","2.06","-0.85","4.05","3.35","3548"
"Brad Hand","Indians","13.73","2.29","6.00","0.69","38.5 %","6.4 %","32.1 %",".201","0.99",".321","84.2 %","48","45","63","2.29","2.07","0.22","2.89","2.47","9111"
"Aroldis Chapman","Yankees","13.01","2.95","4.42","0.49","34.9 %","7.9 %","27.0 %",".209","1.12",".321","74.0 %","53","44","55","2.45","2.10","0.36","2.52","2.81","10233"
"Felipe Vazquez","Pirates","14.06","2.45","5.73","0.67","37.5 %","6.6 %","31.0 %",".221","1.12",".352","86.8 %","47","48","60","2.01","2.10","-0.09","2.65","2.49","12076"
"Mike Clevinger","Indians","14.77","3.31","4.46","0.76","41.4 %","9.3 %","32.1 %",".189","1.05",".318","70.1 %","74","46","49","3.57","2.14","1.43","2.26","2.83","12808"
"Ian Kennedy","Royals","10.80","2.11","5.11","0.47","28.8 %","5.6 %","23.1 %",".253","1.23",".353","75.2 %","70","50","81","3.29","2.28","1.01","3.71","3.24","6986"
"Tyler Glasnow","Rays","10.24","1.68","6.11","0.56","30.1 %","4.9 %","25.1 %",".201","0.91",".276","82.9 %","42","52","65","1.86","2.30","-0.44","2.97","3.25","14374"
"Ryan Pressly","Astros","11.27","1.49","7.57","0.85","33.1 %","4.4 %","28.8 %",".170","0.78",".229","91.2 %","34","54","50","1.49","2.43","-0.95","2.28","2.47","7005"
"Austin Adams","- - -","15.90","4.81","3.31","0.74","43.9 %","13.3 %","30.6 %",".155","1.07",".282","70.3 %","84","55","50","3.70","2.47","1.22","2.30","2.79","13801"
"Giovanny Gallegos","Cardinals","12.67","1.45","8.71","1.04","37.7 %","4.3 %","33.3 %",".176","0.78",".253","82.8 %","58","58","67","2.49","2.52","-0.03","2.94","2.31","14986"
"Brendan McKay","Rays","7.31","0.56","13.00","0.56","22.4 %","1.7 %","20.7 %",".175","0.69",".209","83.3 %","38","58","82","1.69","2.59","-0.90","3.75","3.95","20186"
"Matt Barnes","Red Sox","16.38","4.62","3.55","0.92","41.8 %","11.8 %","30.0 %",".209","1.31",".370","71.7 %","91","57","49","4.38","2.60","1.79","2.23","2.72","12863"
"Taylor Rogers","Twins","11.60","1.48","7.86","0.84","32.5 %","4.1 %","28.4 %",".209","0.94",".293","93.8 %","36","56","64","1.69","2.63","-0.94","2.94","2.63","13449"
"Will Smith","Giants","12.81","2.06","6.22","1.14","37.8 %","6.1 %","31.8 %",".187","0.89",".269","82.1 %","64","65","53","2.75","2.71","0.04","2.36","2.39","8048"
"Josh Taylor","Red Sox","11.76","2.18","5.40","0.87","30.7 %","5.7 %","25.0 %",".268","1.31",".377","71.4 %","81","60","80","3.92","2.73","1.19","3.67","3.08","17359"
"Taylor Cole","Angels","8.64","3.96","2.18","0.00","22.4 %","10.3 %","12.2 %",".242","1.36",".324","68.6 %","81","60","89","3.60","2.73","0.87","4.08","4.29","11964"
"Sam Dyson","Giants","8.61","1.17","7.33","0.59","24.7 %","3.4 %","21.4 %",".219","0.93",".279","69.4 %","64","66","73","2.74","2.74","0.00","3.22","3.12","11710"
"Robert Stephenson","Reds","12.25","3.50","3.50","0.75","33.1 %","9.5 %","23.7 %",".187","1.08",".268","66.1 %","78","61","84","3.50","2.74","0.76","3.69","3.28","13594"
"Hansel Robles","Angels","9.27","2.22","4.18","0.60","26.0 %","6.2 %","19.8 %",".229","1.10",".299","80.4 %","59","61","90","2.62","2.77","-0.15","4.15","3.65","11801"
"Charlie Morton","Rays","11.22","2.81","4.00","0.68","31.2 %","7.8 %","23.4 %",".199","1.04",".280","80.8 %","53","63","69","2.35","2.79","-0.44","3.17","3.47","4676"
"Brandon Workman","Red Sox","12.68","6.14","2.07","0.20","35.2 %","17.1 %","18.2 %",".103","1.02",".171","80.7 %","38","62","79","1.84","2.81","-0.96","3.63","4.08","11428"
"Oliver Perez","Indians","11.52","1.08","10.67","1.08","30.2 %","2.8 %","27.4 %",".257","1.16",".348","74.6 %","68","61","72","3.24","2.81","0.43","3.31","2.83","1514"
"Hyun-Jin Ryu","Dodgers","8.15","0.85","9.55","0.78","23.5 %","2.5 %","21.1 %",".224","0.93",".273","86.3 %","42","65","70","1.78","2.84","-1.05","3.09","3.51","14444"
"Roberto Osuna","Astros","9.31","1.86","5.00","0.70","26.3 %","5.3 %","21.1 %",".189","0.91",".240","78.6 %","53","63","88","2.33","2.85","-0.52","4.04","3.53","13764"
"Sean Doolittle","Nationals","10.53","2.52","4.18","0.69","26.6 %","6.4 %","20.2 %",".263","1.35",".351","82.7 %","66","65","111","2.97","2.86","0.12","4.88","3.82","1581"
"Jordan Yamamoto","Marlins","9.00","4.50","2.00","0.00","25.8 %","12.9 %","12.9 %",".133","0.94",".190","73.5 %","38","67","109","1.59","2.89","-1.30","4.81","4.85","17585"
"Frankie Montas","Athletics","9.70","2.10","4.62","0.70","26.2 %","5.7 %","20.5 %",".231","1.12",".302","74.6 %","60","65","74","2.70","2.90","-0.20","3.41","3.68","14309"
"Harrison Musgrave","Rockies","10.80","6.30","1.71","0.00","25.5 %","14.9 %","10.6 %",".225","1.60",".321","75.0 %","71","62","129","3.60","2.91","0.69","5.68","4.94","16532"
"Lance Lynn","Rangers","9.84","2.04","4.83","0.77","26.2 %","5.4 %","20.8 %",".255","1.23",".333","72.8 %","78","61","82","3.87","2.92","0.95","3.77","3.84","2520"
"Mike Soroka","Braves","7.66","2.06","3.73","0.37","21.0 %","5.6 %","15.4 %",".218","1.05",".272","78.1 %","50","68","82","2.24","2.95","-0.71","3.60","3.95","18383"
"Brandon Woodruff","Brewers","10.44","2.12","4.93","0.86","28.7 %","5.8 %","22.8 %",".238","1.13",".319","75.3 %","79","66","77","3.53","2.98","0.55","3.38","3.58","16162"
"J.B. Wendelken","Athletics","9.82","2.45","4.00","0.70","26.4 %","6.6 %","19.8 %",".204","1.05",".265","55.6 %","101","66","101","4.56","2.98","1.58","4.66","3.74","14506"
"Tony Sipp","Nationals","7.27","3.63","2.00","0.00","18.2 %","9.1 %","9.1 %",".246","1.38",".309","64.0 %","93","67","124","4.15","2.98","1.17","5.49","4.91","8280"
"David Price","Red Sox","10.39","2.45","4.25","0.82","28.1 %","6.6 %","21.5 %",".232","1.15",".310","72.5 %","66","66","79","3.16","3.00","0.16","3.63","3.75","3184"
"Nick Anderson","Marlins","13.85","3.29","4.21","1.17","35.8 %","8.5 %","27.3 %",".247","1.33",".372","73.3 %","107","70","72","4.46","3.01","1.46","3.16","2.90","18337"
"Ty Buttrey","Angels","10.60","2.40","4.42","0.80","28.3 %","6.4 %","21.9 %",".238","1.18",".322","85.3 %","58","66","80","2.60","3.01","-0.41","3.66","3.33","14719"
"Josh Hader","Brewers","16.43","2.54","6.46","1.76","49.4 %","7.7 %","41.8 %",".128","0.72",".175","93.5 %","53","67","54","2.35","3.02","-0.67","2.36","1.72","14212"
"Emilio Pagan","Rays","12.19","2.39","5.10","1.19","35.4 %","6.9 %","28.5 %",".172","0.88",".231","92.3 %","43","68","69","1.91","3.03","-1.12","3.19","2.74","14771"
"Reyes Moronta","Giants","12.25","4.36","2.81","0.62","31.7 %","11.3 %","20.4 %",".198","1.22",".290","81.1 %","63","73","93","2.70","3.05","-0.35","4.11","3.61","14966"
"Scott Oberg","Rockies","9.64","3.47","2.78","0.58","27.8 %","10.0 %","17.8 %",".167","0.96",".220","83.3 %","27","65","81","1.35","3.06","-1.71","3.58","3.72","13911"
"Andrew Chafin","Diamondbacks","10.69","2.94","3.64","0.80","29.2 %","8.0 %","21.2 %",".240","1.22",".329","79.4 %","72","69","75","3.21","3.07","0.14","3.32","3.40","12988"
"Jarlin Garcia","Marlins","6.99","2.54","2.75","0.32","19.6 %","7.1 %","12.5 %",".214","1.06",".263","74.3 %","69","71","103","2.86","3.07","-0.21","4.57","4.33","18282"
"Carlos Martinez","Cardinals","9.13","3.18","2.88","0.40","24.7 %","8.6 %","16.1 %",".217","1.15",".288","71.4 %","74","71","83","3.18","3.08","0.09","3.64","3.50","11682"
"Luke Jackson","Braves","12.26","3.45","3.56","0.96","32.0 %","9.0 %","23.0 %",".243","1.32",".348","80.4 %","64","71","60","2.87","3.09","-0.21","2.63","2.89","11752"
"Luke Weaver","Diamondbacks","9.82","2.02","4.86","0.87","26.8 %","5.5 %","21.3 %",".232","1.11",".301","78.6 %","68","70","87","3.03","3.10","-0.07","3.85","3.80","16918"
"Stephen Strasburg","Nationals","10.59","2.21","4.80","0.96","29.1 %","6.1 %","23.0 %",".216","1.05",".285","73.6 %","77","71","72","3.46","3.12","0.33","3.16","3.44","10131"
"Jacob deGrom","Mets","11.27","2.19","5.14","1.10","30.6 %","5.9 %","24.6 %",".230","1.12",".310","80.3 %","78","72","75","3.21","3.13","0.08","3.31","3.44","10954"
"Amir Garrett","Reds","13.14","4.86","2.70","0.73","35.3 %","13.1 %","22.2 %",".191","1.22",".297","93.5 %","38","69","73","1.70","3.13","-1.43","3.20","3.44","14375"
"Gerrit Cole","Astros","13.47","2.29","5.88","1.46","37.5 %","6.4 %","31.1 %",".210","1.03",".300","79.7 %","71","69","56","3.12","3.14","-0.01","2.57","2.84","13125"
"Lucas Giolito","White Sox","10.61","3.31","3.21","0.76","29.4 %","9.2 %","20.2 %",".198","1.08",".269","74.0 %","71","68","86","3.23","3.15","0.08","3.96","3.95","15474"
