﻿Photos,Files,,Job Code,Project,Ele. #,Ele. Name,,Task,Dept.,,Check In,Completed,,Notes
[TS][CELL_TYPE=PHOTOS][WIDTH=55],[TS][CELL_TYPE=FILES][WIDTH=50],[TS][CELL_TYPE=COLUMN_BREAK][WIDTH=10],[TS][CELL_TYPE=STRING][WIDTH=64],[TS][CELL_TYPE=STRING][WIDTH=139],[TS][CELL_TYPE=STRING][WIDTH=50],[TS][CELL_TYPE=STRING][WIDTH=214],[TS][CELL_TYPE=COLUMN_BREAK][WIDTH=10],[TS][CELL_TYPE=STRING][WIDTH=535],[TS][CELL_TYPE=STRING][WIDTH=64],[TS][CELL_TYPE=COLUMN_BREAK][WIDTH=10],[TS][CELL_TYPE=DATETIME][WIDTH=80],[TS][CELL_TYPE=BOOLEAN][WIDTH=72],[TS][CELL_TYPE=COLUMN_BREAK][WIDTH=10],[TS][CELL_TYPE=NOTES][WIDTH=476]
[TS][SHEET_VIEW_NAME=Open Tasks By Check In],,,[TS][SHEET_VIEW_NAME=Open Tasks By Check In][SORT={ORDER=DESC;CREATED_AT=2019-12-02 10:08:27}],,[TS][SHEET_VIEW_NAME=Open Tasks By Check In][SORT={ORDER=ASC;CREATED_AT=2019-12-02 10:08:29}],,,,,,[TS][SHEET_VIEW_NAME=Open Tasks By Check In][FILTER={VALUE=01/01/01;TYPE=**>**;CREATED_AT=2019-12-02 08:51:38}][GROUP={ORDER=ASC;CREATED_AT=2019-12-02 08:51:18}],[TS][SHEET_VIEW_NAME=Open Tasks By Check In][FILTER={VALUE=Checked;TYPE=**!=**;CREATED_AT=2019-12-06 15:02:38}],,
[TS][SHEET_VIEW_NAME=Open Ft. McDowell Tasks],,,[TS][SHEET_VIEW_NAME=Open Ft. McDowell Tasks][FILTER={VALUE=18-104;TYPE=**=**;CREATED_AT=2019-12-02 09:12:03}],,,,,,,,[TS][SHEET_VIEW_NAME=Open Ft. McDowell Tasks][FILTER={VALUE=01/01/01;TYPE=**>**;CREATED_AT=2019-12-02 09:07:44}][GROUP={ORDER=ASC;CREATED_AT=2019-12-02 09:07:45}],[TS][SHEET_VIEW_NAME=Open Ft. McDowell Tasks][FILTER={VALUE=Checked;TYPE=**!=**;CREATED_AT=2019-12-06 15:02:50}],,
[TS][SHEET_VIEW_NAME=Open Everett Public Library Tasks],,,[TS][SHEET_VIEW_NAME=Open Everett Public Library Tasks][FILTER={VALUE=19-156;TYPE=**=**;CREATED_AT=2019-12-02 09:11:56}],,,,,,,,[TS][SHEET_VIEW_NAME=Open Everett Public Library Tasks][FILTER={VALUE=01/01/01;TYPE=**>**;CREATED_AT=2019-12-02 09:07:55}][GROUP={ORDER=ASC;CREATED_AT=2019-12-02 09:07:56}],[TS][SHEET_VIEW_NAME=Open Everett Public Library Tasks][FILTER={VALUE=Checked;TYPE=**!=**;CREATED_AT=2019-12-06 15:03:10}],,
[TS][SHEET_VIEW_NAME=Open Kyle Mock Tasks],,,[TS][SHEET_VIEW_NAME=Open Kyle Mock Tasks][FILTER={VALUE=19-248;TYPE=**=**;CREATED_AT=2019-12-02 09:11:47}],,,,,,,,[TS][SHEET_VIEW_NAME=Open Kyle Mock Tasks][FILTER={VALUE=01/01/01;TYPE=**>**;CREATED_AT=2019-12-02 09:08:07}][GROUP={ORDER=ASC;CREATED_AT=2019-12-02 09:08:08}],[TS][SHEET_VIEW_NAME=Open Kyle Mock Tasks][FILTER={VALUE=Checked;TYPE=**!=**;CREATED_AT=2019-12-06 15:03:22}],,
[TS][SHEET_VIEW_NAME=Open Desert Diamond Tasks],,,[TS][SHEET_VIEW_NAME=Open Desert Diamond Tasks][FILTER={VALUE=18-222;TYPE=**=**;CREATED_AT=2019-12-02 09:11:37}],,,,,,,,[TS][SHEET_VIEW_NAME=Open Desert Diamond Tasks][FILTER={VALUE=01/01/01;TYPE=**>**;CREATED_AT=2019-12-02 09:08:12}][GROUP={ORDER=ASC;CREATED_AT=2019-12-02 09:08:13}],[TS][SHEET_VIEW_NAME=Open Desert Diamond Tasks][FILTER={VALUE=Checked;TYPE=**!=**;CREATED_AT=2019-12-06 15:03:30}],,
[TS][SHEET_VIEW_NAME=Check In Date Sort Test],,,,,,,,,[TS][SHEET_VIEW_NAME=Check In Date Sort Test][SORT={ORDER=DESC;CREATED_AT=2019-12-04 15:18:56}],,[TS][SHEET_VIEW_NAME=Check In Date Sort Test][GROUP={ORDER=DESC;CREATED_AT=2019-12-04 13:50:49}],[TS][SHEET_VIEW_NAME=Check In Date Sort Test][FILTER={VALUE=Checked;TYPE=**!=**;CREATED_AT=2019-12-06 15:03:39}],,
[TS][SHEET_VIEW_NAME=Playground],,,,,,,,,,,,,,
,,,18-104,Ft. McDowell,-13,Bar Light Boxes,,Paint brake-formed metal,Paint,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Make sure smoke panel support has been fastened to center support and tested,PM,,12/2/2019,Checked,,
