Project,Element,Description,Vendor,Part#,Quantity,Cost,PO,DateToArrive,DateReceived
18-104 - Ft. McDowell,-1,Part 1,McMaster-Carr,393570,39,22680,PO #00001,,
18-104 - Ft. McDowell,-1,Part 2,Amazon,253961,32,12428,PO #00002,,
18-104 - Ft. McDowell,-1,Part 3,Global Industrial,580346,10,20712,PO #00003,,
18-104 - Ft. McDowell,-1,Part 4,Crosscut,945351,26,17886,PO #00004,,
18-104 - Ft. McDowell,-1,Part 5,Pacer,209065,70,6348,PO #00005,,
18-104 - Ft. McDowell,-1,Part 6,Expeditors,102153,56,13047,PO #00006,,
18-104 - Ft. McDowell,-1,Part 7,McMaster-Carr,611509,7,19895,PO #00007,,
18-104 - Ft. McDowell,-1,Part 8,Amazon,471431,16,573,PO #00008,,
18-104 - Ft. McDowell,-1,Part 9,Global Industrial,794459,52,9267,PO #00009,,
18-104 - Ft. McDowell,-1,Part 10,Crosscut,915710,73,19400,PO #00010,,
18-104 - Ft. McDowell,-2,Part 11,Pacer,591419,64,4014,PO #00011,,
18-104 - Ft. McDowell,-2,Part 12,Global Industrial,541004,92,17785,PO #00012,,
18-104 - Ft. McDowell,-2,Part 13,Crosscut,750998,30,13359,PO #00013,,
18-104 - Ft. McDowell,-2,Part 14,Pacer,565569,81,18741,PO #00014,,
18-104 - Ft. McDowell,-2,Part 15,Expeditors,566465,66,1927,PO #00015,,
18-104 - Ft. McDowell,-2,Part 16,Scuffmaster,621867,1,2818,PO #00016,,
18-104 - Ft. McDowell,-2,Part 17,Chemetal,240551,47,8544,PO #00017,,
18-104 - Ft. McDowell,-2,Part 18,Souers,499889,68,9361,PO #00018,,
18-104 - Ft. McDowell,-2,Part 19,McMaster-Carr,850922,11,5706,PO #00019,,
18-104 - Ft. McDowell,-2,Part 20,Amazon,905368,75,5454,PO #00020,,
18-104 - Ft. McDowell,-2,Part 21,Global Industrial,480837,16,7071,PO #00021,,
18-104 - Ft. McDowell,-2,Part 22,Crosscut,269158,1,1259,PO #00022,,
18-104 - Ft. McDowell,-2,Part 23,Global Industrial,888167,7,12105,PO #00023,,
18-104 - Ft. McDowell,-2,Part 24,Crosscut,390220,54,9067,PO #00024,,
18-104 - Ft. McDowell,-3,Part 25,Pacer,829334,6,16283,PO #00025,,
18-104 - Ft. McDowell,-3,Part 26,Expeditors,484524,35,3857,PO #00026,,
18-104 - Ft. McDowell,-3,Part 27,McMaster-Carr,631600,70,5262,PO #00027,,
18-104 - Ft. McDowell,-3,Part 28,Amazon,777257,3,14695,PO #00028,,
18-104 - Ft. McDowell,-3,Part 29,Crosscut,867458,33,13022,PO #00029,,
18-104 - Ft. McDowell,-3,Part 30,Pacer,472522,95,19599,PO #00030,,
18-104 - Ft. McDowell,-3,Part 31,Global Industrial,655700,35,5204,PO #00031,,
18-104 - Ft. McDowell,-3,Part 32,Crosscut,300543,10,21171,PO #00032,,
18-104 - Ft. McDowell,-3,Part 33,Pacer,787884,45,12809,PO #00033,,
18-104 - Ft. McDowell,-3,Part 34,Expeditors,377350,19,12768,PO #00034,,
18-104 - Ft. McDowell,-3,Part 35,McMaster-Carr,439715,14,8330,PO #00035,,
18-104 - Ft. McDowell,-3,Part 36,Amazon,178729,89,21619,PO #00036,,
18-104 - Ft. McDowell,-3,Part 37,McMaster-Carr,145640,100,769,PO #00037,,
18-104 - Ft. McDowell,-3,Part 38,Amazon,346946,70,16940,PO #00038,,
18-104 - Ft. McDowell,-3,Part 39,Global Industrial,302332,69,15634,PO #00039,,
18-104 - Ft. McDowell,-3,Part 40,Crosscut,573201,71,11480,PO #00040,,
18-104 - Ft. McDowell,-3,Part 41,Pacer,801849,0,9791,PO #00041,,
18-104 - Ft. McDowell,-3,Part 42,Expeditors,298320,34,8497,PO #00042,,
18-104 - Ft. McDowell,-3,Part 43,McMaster-Carr,679614,54,6715,PO #00043,,
18-104 - Ft. McDowell,-3,Part 44,Amazon,963208,44,11676,PO #00044,,
18-104 - Ft. McDowell,-3,Part 45,Global Industrial,477573,31,2003,PO #00045,,
18-104 - Ft. McDowell,-3,Part 46,Crosscut,438575,47,19901,PO #00046,,
18-104 - Ft. McDowell,-3,Part 47,Pacer,202721,45,6584,PO #00047,,
18-104 - Ft. McDowell,-3,Part 48,Global Industrial,763368,75,8736,PO #00048,,
18-104 - Ft. McDowell,-3,Part 49,Crosscut,161250,100,846,PO #00049,,
