Name,Team,Age,,Off,Def,WAR,,G,PA,,HR,R,RBI,SB,,BB%,K%,ISO,BABIP,HR/FB,,AVG,OBP,SLG,OPS,wRC+,,Contact%,Hard%
Christian Yelich,Brewers,27,,65.3,-3.7,7.8,,130,580,,44,100,97,30,,13.80%,20.30%,0.342,0.355,32.80%,,0.329,0.429,0.671,1.1,174,,73.80%,50.50%
Mike Trout,Angels,27,,68.2,-0.4,8.6,,134,600,,45,110,104,11,,18.30%,20.00%,0.353,0.298,25.90%,,0.291,0.438,0.645,1.083,180,,82.30%,43.80%
Yordan Alvarez,Astros,22,,34.6,-8.5,3.8,,87,369,,27,58,78,0,,14.10%,25.50%,0.342,0.366,32.90%,,0.313,0.412,0.655,1.067,178,,75.90%,51.10%
Alex Bregman,Astros,25,,58.3,4.4,8.4,,156,690,,41,122,112,5,,17.20%,12.00%,0.296,0.281,18.60%,,0.296,0.423,0.592,1.015,168,,87.00%,44.70%
Nelson Cruz,Twins,38,,37.8,-12.3,4.3,,120,521,,41,81,108,0,,10.70%,25.10%,0.328,0.351,31.30%,,0.311,0.392,0.639,1.031,163,,69.70%,52.50%
David Freese,Dodgers,36,,13.3,-4.4,1.5,,79,186,,11,35,29,0,,12.40%,23.70%,0.284,0.374,30.60%,,0.315,0.403,0.599,1.002,162,,71.90%,47.50%
Cody Bellinger,Dodgers,23,,55,3.2,7.7,,156,660,,47,121,115,15,,14.40%,16.40%,0.324,0.302,24.60%,,0.305,0.406,0.629,1.035,162,,78.10%,49.20%
Edwin Rios,Dodgers,25,,4,-1.5,0.4,,28,56,,4,10,8,0,,16.10%,37.50%,0.34,0.409,57.10%,,0.277,0.393,0.617,1.01,161,,70.10%,57.70%
Anthony Rendon,Nationals,29,,46.8,4.1,7,,146,646,,34,117,126,5,,12.40%,13.30%,0.279,0.323,15.90%,,0.319,0.412,0.598,1.01,154,,88.30%,44.70%
Sam Hilliard,Rockies,25,,4.8,-1.6,0.6,,27,87,,7,13,13,2,,10.30%,26.40%,0.377,0.298,33.30%,,0.273,0.356,0.649,1.006,138,,73.80%,38.90%
Ketel Marte,Diamondbacks,25,,46.1,7,7.1,,144,628,,32,97,92,10,,8.40%,13.70%,0.264,0.342,19.00%,,0.329,0.389,0.592,0.981,151,,83.60%,41.90%
