Name,,Org,Pos,,Current Level,Top 100,Org Rk,FV,,Age,Ht,Wt,Bat,Thr
Wander Franco,,TBR,SS,,A+,1,1,70,,18.6,"5' 10""",190,S,R
Royce Lewis,,MIN,SS,,AA,2,1,65,,20.3,"6' 2""",188,R,R
Jo Adell,,LAA,RF,,AAA,3,1,65,,20.5,"6' 3""",215,R,R
Forrest Whitley,,HOU,RHP,,AAA,4,1,60,,22,"6' 7""",225,R,R
MacKenzie Gore,,SDP,LHP,,R,5,1,60,,20.6,"6' 3""",180,L,L
Adley Rutschman,,BAL,C,,A,6,1,60,,21.6,"6' 2""",216,S,R
Dustin May,,LAD,RHP,,MLB,7,1,60,,22.1,"6' 6""",180,R,R
Casey Mize,,DET,RHP,,AA,8,1,60,,22.4,"6' 3""",208,R,R
Gavin Lux,,LAD,2B,,MLB,9,2,60,,21.8,"6' 2""",190,L,R
Brendan McKay,,TBR,LHP,,MLB,10,2,60,,23.8,"6' 2""",212,L,L
Keibert Ruiz,,LAD,C,,AAA,11,3,60,,21.2,"6' 0""",200,S,R
Carter Kieboom,,WSN,SS,,AAA,12,1,60,,22.1,"6' 2""",190,R,R
Cristian Pache,,ATL,CF,,AAA,13,1,60,,20.9,"6' 2""",185,R,R
Ke'Bryan Hayes,,PIT,3B,,AAA,14,1,60,,22.7,"6' 1""",210,R,R
Kyle Tucker,,HOU,RF,,MLB,15,2,55,,22.7,"6' 4""",200,L,R
Vidal Brujan,,TBR,2B,,AA,16,3,55,,21.6,"5' 9""",155,S,R
Brendan Rodgers,,COL,SS,,MLB,17,1,55,,23.1,"6' 0""",180,R,R
Joey Bart,,SFG,C,,AA,18,1,55,,22.8,"6' 3""",225,R,R
Luis Robert,,CHW,CF,,AAA,19,1,55,,22.1,"6' 3""",185,R,R
A.J. Puk,,OAK,LHP,,MLB,20,1,55,,24.4,"6' 7""",230,L,L
Michael Kopech,,CHW,RHP,,MLB,21,2,55,,23.4,"6' 3""",195,R,R
Drew Waters,,ATL,CF,,AAA,22,2,55,,20.7,"6' 2""",183,S,R
Sixto Sanchez,,MIA,RHP,,AA,23,1,55,,21.2,"6' 0""",185,R,R
Jesus Luzardo,,OAK,LHP,,MLB,24,2,55,,22,"5' 11""",209,L,L
Ronny Mauricio,,NYM,SS,,A,25,1,55,,18.5,"6' 3""",166,S,R
Nick Madrigal,,CHW,2B,,AAA,26,3,55,,22.5,"5' 7""",160,R,R
Luis Patino,,SDP,RHP,,AA,27,2,55,,19.9,"6' 0""",150,R,R
Taylor Trammell,,SDP,LF,,AA,28,3,55,,22,"6' 2""",195,L,L
Jazz Chisholm,,MIA,SS,,AA,29,2,55,,21.7,"5' 11""",165,L,R
Sean Murphy,,OAK,C,,MLB,30,3,55,,25,"6' 3""",215,R,R
Bobby Witt Jr.,,KCR,SS,,R,31,1,55,,19.3,"6' 1""",185,R,R
Matt Manning,,DET,RHP,,AA,32,2,55,,21.7,"6' 6""",190,R,R
Jarred Kelenic,,SEA,CF,,AA,33,1,55,,20.2,"6' 1""",196,L,L
Nolan Gorman,,STL,3B,,A+,34,1,55,,19.4,"6' 1""",210,L,R
Oneil Cruz,,PIT,CF,,AA,35,2,55,,21,"6' 7""",175,L,R
Nate Pearson,,TOR,RHP,,AAA,36,1,55,,23.1,"6' 6""",245,R,R
Marco Luciano,,SFG,SS,,A-,37,2,55,,18,"6' 2""",180,R,R
Ian Anderson,,ATL,RHP,,AAA,38,3,55,,21.4,"6' 3""",170,R,R
JJ Bleday,,MIA,RF,,A+,39,3,50,,21.9,"6' 3""",205,L,L
Andrew Vaughn,,CHW,1B,,A+,40,4,50,,21.5,"5' 11""",210,R,R
Dylan Carlson,,STL,LF,,AAA,41,2,50,,20.9,"6' 3""",195,S,L
