Name,BBE,,LA,SwSp%,,EV Max,EV Avg,EV FB/LD,EV GB,,Dist Max,Dist Avg,Dist Avg HR,,95+,95+ %,,Barrels,Barrels / BBE %,Barrels / PA %
Vladimir Guerrero Jr.,333,,7.1,31.8,,118.9,89.5,93.7,87.6,,451,161,418,,132,39.6,,27,8.1,5.9
Aristides Aquino,104,,19.6,35.6,,118.3,87,94.5,81.3,,452,191,406,,41,39.4,,15,14.4,9.7
Pete Alonso,378,,14.6,38.4,,118.3,90.6,96.4,85.5,,474,190,412,,155,41.7,,61,16.1,9.8
Gary Sanchez,269,,19.3,33.8,,118.3,91.2,96.1,86.5,,481,209,417,,112,41.6,,52,19.3,11.9
Aaron Judge,213,,11.2,39.4,,118.1,95.7,99.1,92,,467,192,397,,120,56.3,,41,19.2,10.5
Jose Abreu,440,,11,35.5,,117.9,92.2,96.4,89.7,,462,169,403,,219,49.8,,60,13.6,9.7
Yordan Alvarez,193,,13.6,38.9,,117.9,92.6,96.8,87.5,,474,200,409,,95,49.7,,35,18.1,11.1
Christian Yelich,374,,11.2,33.2,,117.9,93.1,96.7,90.4,,462,184,407,,182,49.1,,59,15.8,10.2
Kyle Schwarber,340,,15.1,34.1,,117.6,92.4,97.3,88.8,,473,195,406,,170,50.3,,45,13.2,8.3
Nelson Cruz,285,,13.6,37.9,,117,93.5,99.1,88.8,,473,197,411,,146,51.2,,57,20,12.4
Mike Trout,354,,22.2,44.1,,116.6,90.7,94.9,84.2,,473,233,419,,154,44.3,,66,18.6,11
Ketel Marte,468,,11.5,34.4,,116.3,89.9,93.4,87.5,,482,174,407,,188,40.2,,43,9.2,7.1
Josh Bell,409,,12.7,34.7,,116.2,92.4,96.1,89.8,,474,186,411,,190,47.1,,53,13,8.7
Avisail Garcia,338,,10.3,34.3,,116.2,89.8,95.1,87.2,,471,167,417,,135,39.9,,40,11.8,8.1
Mike Zunino,160,,19.9,27.5,,116.1,88.8,97,84.1,,455,179,427,,61,38.1,,19,11.9,6.9
C.J. Cron,329,,13,35,,115.9,91,96.3,87.3,,453,188,405,,146,44.8,,51,15.5,10.9
Ronald Acuna Jr.,417,,13.9,39.3,,115.9,90.4,95.5,84.7,,466,188,417,,194,46.5,,60,14.4,8.9
Fernando Tatis Jr.,227,,6.9,33.5,,115.9,89.6,95.8,84.3,,468,164,405,,100,44.1,,30,13.2,8.1
Yoan Moncada,314,,12.7,39.5,,115.8,92.7,95.2,91.2,,462,188,405,,148,47.1,,39,12.4,7.9
Jorge Soler,373,,15.5,32.4,,115.7,92.5,97.4,89,,465,196,412,,186,49.9,,63,16.9,10.3
Carlos Gomez,59,,16.4,30.5,,115.6,83.6,91.4,77.1,,408,168,399,,19,33.3,,7,11.9,7.1
Bryce Harper,354,,12.5,37.6,,115.5,91.4,97.1,85.2,,466,193,412,,164,46.3,,51,14.4,8.3
Austin Meadows,356,,16.9,36.8,,115.4,90.5,95.1,85.8,,447,204,400,,154,43.3,,43,12.1,8.2
Joey Gallo,129,,20.3,36.4,,115.4,93,101.2,78.3,,467,231,419,,67,52.3,,34,26.4,11.4
Marcell Ozuna,327,,13.2,33.9,,115.3,91.9,96.8,87.8,,455,180,402,,159,50,,42,12.8,8.9
