Name,PA,BIP,,BA,xBA,xBA - BA,,SLG,xSLG,xSLG - SLG,,wOBA,xwOBA,xwOBA - wOBA
Mookie Betts,675,478,,0.29,0.296,-0.006,,0.526,0.536,-0.01,,0.384,0.398,-0.014
Marcus Semien,673,504,,0.281,0.263,0.018,,0.509,0.453,0.056,,0.37,0.347,0.023
Ronald Acuna Jr.,673,417,,0.282,0.275,0.007,,0.514,0.54,-0.026,,0.373,0.382,-0.009
Whit Merrifield,665,510,,0.306,0.287,0.019,,0.472,0.428,0.044,,0.35,0.331,0.019
Freddie Freeman,647,446,,0.305,0.289,0.016,,0.572,0.556,0.016,,0.403,0.396,0.007
Jorge Polanco,643,480,,0.299,0.28,0.019,,0.49,0.46,0.03,,0.361,0.347,0.014
Ozzie Albies,640,485,,0.289,0.281,0.008,,0.487,0.467,0.02,,0.352,0.346,0.006
Rhys Hoskins,636,367,,0.236,0.22,0.016,,0.474,0.408,0.066,,0.361,0.342,0.019
Rafael Devers,633,482,,0.314,0.296,0.018,,0.563,0.513,0.05,,0.386,0.366,0.02
Eduardo Escobar,631,465,,0.272,0.253,0.019,,0.532,0.456,0.076,,0.354,0.328,0.026
Carlos Santana,629,426,,0.283,0.264,0.019,,0.535,0.478,0.057,,0.394,0.372,0.022
Xander Bogaerts,629,444,,0.303,0.275,0.028,,0.56,0.47,0.09,,0.394,0.358,0.036
Jonathan Villar,628,416,,0.277,0.247,0.03,,0.456,0.392,0.064,,0.342,0.312,0.03
Alex Bregman,625,438,,0.296,0.265,0.031,,0.578,0.442,0.136,,0.415,0.369,0.046
Pete Alonso,621,378,,0.266,0.261,0.005,,0.591,0.531,0.06,,0.397,0.383,0.014
Jose Abreu,618,440,,0.284,0.283,0.001,,0.516,0.517,-0.001,,0.354,0.365,-0.011
Bryce Harper,613,354,,0.255,0.273,-0.018,,0.499,0.523,-0.024,,0.368,0.387,-0.019
Jorge Soler,610,373,,0.255,0.265,-0.01,,0.552,0.562,-0.01,,0.375,0.388,-0.013
