Name,FF,SI,FC,SL,CH,CU,FS,KN
Trevor Bauer,94.6,94.8,84.5,79.5,86.1,79.2,,
Lance Lynn,94.6,92.8,89.1,,86.8,81.2,,
Stephen Strasburg,93.9,93.7,,87.8,87.7,81.2,,
Eduardo Rodriguez,93,92.9,88.4,85.2,87.6,82.1,,
Aaron Nola,93,92.1,,,85.7,79,,
Mike Minor,92.5,,,86.5,86.2,80.7,,
Gerrit Cole,97.1,97.1,,89.2,88.7,82.5,,
Madison Bumgarner,91.4,92.2,87.2,,84.2,78.7,,
Shane Bieber,93.1,93.7,,85,87.6,82.6,,
Jacob deGrom,96.8,96.5,,92.5,90.1,84.3,,
Reynaldo Lopez,95.4,,,84.5,84,78.2,,
Patrick Corbin,91.7,91.7,,81.6,81.5,67.7,,
Luis Castillo,96.3,96.4,,85.7,87.1,,,
Justin Verlander,94.6,,,87.5,87,79.4,,
Marco Gonzales,88.1,88.9,85.2,,81.2,76.2,,
Jakob Junis,91.7,91,,82.4,84.7,79.3,,
Jose Berrios,93,92.1,,,82.5,81.1,,
Charlie Morton,94.7,93.9,85.4,,,78.6,84.9,
Zack Wheeler,96.8,96.5,,91.2,89,80.7,88.8,
Matthew Boyd,92,90.3,90.5,79.6,79.1,72.2,,
Julio Teheran,89.8,89.3,,82.2,83.7,74.8,,
Zack Greinke,89.9,90.3,89.3,83.4,87.3,70.6,80.3,
Jack Flaherty,94.1,91.7,,84.6,85.7,78.1,,
Robbie Ray,92.5,92.2,,84.2,,81.8,,
Jon Lester,90.5,89.5,87.9,,84.4,74.6,,
Ivan Nova,92.4,92.2,86.7,,86.2,79.8,,
Lucas Giolito,94.2,,,84.5,81.7,79.4,,
Brad Keller,93.7,92.8,,84.9,87.8,,,
Mike Leake,88.6,88.3,86.6,80.3,84,79.2,,
Rick Porcello,91,89.5,,84.2,80.9,74.9,,
Sandy Alcantara,95.6,95.3,,85.9,89,82,,
Noah Syndergaard,97.8,97.5,,89.1,91.1,80.3,,
Jeff Samardzija,91.6,92.2,88.7,84.5,,76.3,82.4,
Merrill Kelly,91.9,91.4,89.7,,85.9,80.5,,
Marcus Stroman,93,92.5,91.2,85.8,86.7,75.1,,
Wade Miley,90.7,89.5,87.3,81.7,81.1,75.5,,
Sonny Gray,93.3,93.2,89.3,84.7,89.7,81.9,,
Tanner Roark,92.1,92,,86.3,84.2,75.8,,
German Marquez,95.7,94.7,,87.4,87.8,84.9,,
Jake Odorizzi,92.8,,85.4,,,75.4,85.1,
Mike Fiers,90.4,90.3,,85.7,84.1,73.9,,
Dakota Hudson,93.9,93.6,,87.5,88.1,82,,
Walker Buehler,96.5,96.6,92.7,86.8,91.7,80.7,,
Masahiro Tanaka,91.5,90.3,87.4,83.2,,76.2,86.8,
Martin Perez,94.3,94,88.5,,85.4,79.2,,
Homer Bailey,92.9,92.7,,87.3,,78.3,84.1,
Yu Darvish,94,93.5,86.9,82.5,83.8,76.8,88.5,
Brett Anderson,89.4,90.6,,81.8,82.5,75.6,,
Jose Quintana,91.4,91.3,,,86.5,77,,
Miles Mikolas,93.7,93.4,,87,88.2,78.3,,
Kyle Gibson,93.4,93.2,,84.1,85.3,80.1,,
Max Fried,93.8,93.5,93.5,83.8,84.8,74.6,,
Trent Thornton,92.9,91.7,88,80.5,,74,83.2,
Dylan Bundy,91.1,91.3,,81.1,83.5,74.8,,
Zach Davies,,88.4,86.9,80.4,79.9,75.6,,
Chris Sale,93.4,92.2,,79,85.2,,,
Max Scherzer,94.9,,89.9,85.6,84.3,78.5,,
James Paxton,95.5,,88.1,,86,81.1,,
Steven Matz,,93.3,,89.6,84.3,78.7,,
J.A. Happ,91.9,89.5,,84.8,86,81.4,,
Joey Lucchesi,,90.2,90.6,,79,,,
Kyle Hendricks,87.2,86.7,,,78.7,71.5,,
Hyun-Jin Ryu,90.7,90.1,86.9,80.1,79.9,72.6,,
Adam Wainwright,89.6,89.9,84.8,,83.9,74.8,,
Anibal Sanchez,90.2,90.3,87.6,82.9,70.6,76.8,84.3,
John Means,91.8,,,83.5,80.8,76.1,,
Yusei Kikuchi,92.5,,,85.9,84.5,75,,
Joe Musgrove,92.5,91.3,88.6,83.1,85.1,82,,
