Type,Bundle,,Task,,Version,Status,Completed,,Estimated Calendar Days,Actual Calendar Days
[TS][CELL_TYPE=STRING][WIDTH=88],[TS][CELL_TYPE=STRING][WIDTH=64],[TS][CELL_TYPE=COLUMN_BREAK][WIDTH=10],[TS][CELL_TYPE=STRING][WIDTH=975],[TS][CELL_TYPE=COLUMN_BREAK][WIDTH=10],[TS][CELL_TYPE=STRING][WIDTH=57],[TS][CELL_TYPE=STRING][WIDTH=88],[TS][CELL_TYPE=BOOLEAN][WIDTH=72],[TS][CELL_TYPE=COLUMN_BREAK][WIDTH=10],[TS][CELL_TYPE=NUMBER][WIDTH=70],[TS][CELL_TYPE=NUMBER][WIDTH=48]
[TS][SHEET_VIEW_NAME=Open Tasks By Priority][SORT={ORDER=ASC;CREATED_AT=2019-12-06 14:51:17}],[TS][SHEET_VIEW_NAME=Open Tasks By Priority][SORT={ORDER=ASC;CREATED_AT=2019-12-06 14:51:15}],,[TS][SHEET_VIEW_NAME=Open Tasks By Priority][SORT={ORDER=ASC;CREATED_AT=2019-12-06 14:51:26}],,[TS][SHEET_VIEW_NAME=Open Tasks By Priority][GROUP={ORDER=ASC;CREATED_AT=2019-11-26 16:34:17}],,[TS][SHEET_VIEW_NAME=Open Tasks By Priority][FILTER={VALUE=Checked;TYPE=**!=**;CREATED_AT=2019-12-06 15:06:04}],,,
[TS][SHEET_VIEW_NAME=Features][FILTER={VALUE=Feature;TYPE=**=**;CREATED_AT=2019-11-26 22:28:10}],,,,,[TS][SHEET_VIEW_NAME=Features][GROUP={ORDER=ASC;CREATED_AT=2019-11-26 22:27:29}],[TS][SHEET_VIEW_NAME=Features][SORT={ORDER=DESC;CREATED_AT=2019-11-26 22:27:29}],[TS][SHEET_VIEW_NAME=Features][FILTER={VALUE=1;TYPE=**!=**;CREATED_AT=2019-11-26 22:27:29}],,[TS][SHEET_VIEW_NAME=Features][SORT={ORDER=ASC;CREATED_AT=2019-11-26 22:27:29}],
[TS][SHEET_VIEW_NAME=Improvements][FILTER={VALUE=Improvement;TYPE=**=**;CREATED_AT=2019-11-26 22:28:19}],,,,,[TS][SHEET_VIEW_NAME=Improvements][GROUP={ORDER=ASC;CREATED_AT=2019-11-26 22:27:32}],[TS][SHEET_VIEW_NAME=Improvements][SORT={ORDER=DESC;CREATED_AT=2019-11-26 22:27:32}],[TS][SHEET_VIEW_NAME=Improvements][FILTER={VALUE=1;TYPE=**!=**;CREATED_AT=2019-11-26 22:27:32}],,[TS][SHEET_VIEW_NAME=Improvements][SORT={ORDER=ASC;CREATED_AT=2019-11-26 22:27:32}],
[TS][SHEET_VIEW_NAME=Bugs][FILTER={VALUE=Bug;TYPE=**=**;CREATED_AT=2019-11-26 22:28:24}],,,,,[TS][SHEET_VIEW_NAME=Bugs][GROUP={ORDER=ASC;CREATED_AT=2019-11-26 22:27:36}],[TS][SHEET_VIEW_NAME=Bugs][SORT={ORDER=DESC;CREATED_AT=2019-11-26 22:27:36}],[TS][SHEET_VIEW_NAME=Bugs][FILTER={VALUE=1;TYPE=**!=**;CREATED_AT=2019-11-26 22:27:36}],,[TS][SHEET_VIEW_NAME=Bugs][SORT={ORDER=ASC;CREATED_AT=2019-11-26 22:27:36}],
Feature,Sheet,,Convert SheetCellNotes to SheetCellHistory and add the option to record cell history in the column settings,,1,Not Started,,,5,
Feature,Sheet,,Headers / no headers when uploading CSV,,1,Not Started,,,2,
Feature,Sheet,,Formulas,,1.2,Not Started,,,5,
Improvement,Sheet,,"Filter group and sort improvements - brainlist new features (dates, day of weeks, anything that results in them being easier to use and more useful)",,1.1,Not Started,,,1,
Feature,Folder,,Copy folder,,1,Not Started,,,2,
