"Date (Datetime)","Day of the Week (String)","Month (String)","Year (Number)","Date (String)","Date (Number)","First Digit (String)","Second Digit (Number)","Even (Boolean)","Odd (Boolean)"
"[TS][DATETIME]","[TS][STRING]","[TS][STRING]","[TS][STRING]","[TS][STRING]","[TS][NUMBER]","[TS][NUMBER]","[TS][STRING]","[TS][BOOLEAN]","[TS][BOOLEAN]"
"01/01/2020","Wednesday","January","2020","1","1","0","1","0","1"
"01/02/2020","Thursday","January","2020","2","2","0","2","1",""
"01/03/2020","Friday","January","2020","3","3","0","3","0","1"
"01/04/2020","Saturday","January","2020","4","4","0","4","1",""
"01/05/2020","Sunday","January","2020","5","5","0","5","","1"
"01/06/2020","Monday","January","2020","6","6","0","6","1",""
"01/07/2020","Tuesday","January","2020","7","7","0","7","","1"
"01/08/2020","Wednesday","January","2020","8","8","0","8","1",""
"01/09/2020","Thursday","January","2020","9","9","0","9","","1"
"01/10/2020","Friday","January","2020","10","10","1","0","1",""
"01/11/2020","Saturday","January","2020","11","11","1","1","","1"
"01/12/2020","Sunday","January","2020","12","12","1","2","1",""
"01/13/2020","Monday","January","2020","13","13","1","3","","1"
"01/14/2020","Tuesday","January","2020","14","14","1","4","1",""
"01/15/2020","Wednesday","January","2020","15","15","1","5","","1"
"01/16/2020","Thursday","January","2020","16","16","1","6","1",""
"01/17/2020","Friday","January","2020","17","17","1","7","","1"
"01/18/2020","Saturday","January","2020","18","18","1","8","1",""
"01/19/2020","Sunday","January","2020","19","19","1","9","","1"
"01/20/2020","Monday","January","2020","20","20","2","0","1",""
"01/21/2020","Tuesday","January","2020","21","21","2","1","","1"
"01/22/2020","Wednesday","January","2020","22","22","2","2","1",""
"01/23/2020","Thursday","January","2020","23","23","2","3","","1"
"01/24/2020","Friday","January","2020","24","24","2","4","1",""
"01/25/2020","Saturday","January","2020","25","25","2","5","","1"
"01/26/2020","Sunday","January","2020","26","26","2","6","1",""
"01/27/2020","Monday","January","2020","27","27","2","7","","1"
"01/28/2020","Tuesday","January","2020","28","28","2","8","1",""
"01/29/2020","Wednesday","January","2020","29","29","2","9","","1"
"01/30/2020","Thursday","January","2020","30","30","2","0","1",""
"01/31/2020","Friday","January","2020","31","31","3","1","","1"
