last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Betts, Mookie,605141,2019,639,450,.287,.289,-.002,.507,.522,-.015,.376,.391,-.015
Acuna Jr., Ronald,660670,2019,633,397,.284,.275,.009,.516,.538,-.022,.374,.381,-.007
Semien, Marcus,543760,2019,632,469,.272,.257,.015,.488,.441,.047,.359,.340,.019
Merrifield, Whit,593160,2019,628,480,.299,.288,.011,.471,.433,.038,.347,.334,.013
Freeman, Freddie,518692,2019,611,420,.301,.287,.014,.580,.563,.017,.405,.398,.007
Polanco, Jorge,593871,2019,607,453,.302,.280,.022,.497,.464,.033,.366,.349,.017
Albies, Ozzie,645277,2019,602,453,.288,.281,.007,.485,.466,.019,.351,.346,.005
Bogaerts, Xander,593428,2019,598,423,.312,.277,.035,.580,.476,.104,.404,.361,.043
Devers, Rafael,646240,2019,595,457,.321,.302,.019,.577,.523,.054,.394,.372,.022
Escobar, Eduardo,500871,2019,594,436,.271,.253,.018,.533,.459,.074,.354,.330,.024
Hoskins, Rhys,656555,2019,592,339,.239,.219,.020,.476,.404,.072,.367,.345,.022
Villar, Jonathan,542340,2019,592,390,.278,.247,.031,.462,.390,.072,.346,.313,.033
Bregman, Alex,608324,2019,589,410,.290,.263,.027,.565,.438,.127,.410,.368,.042
Trout, Mike,545361,2019,585,344,.293,.305,-.012,.642,.641,.001,.442,.454,-.012
Abreu, Jose,547989,2019,583,421,.284,.283,.001,.499,.506,-.007,.346,.359,-.013
Santana, Carlos,467793,2019,582,395,.290,.268,.022,.544,.485,.059,.400,.377,.023
Harper, Bryce,547180,2019,580,335,.257,.272,-.015,.501,.525,-.024,.368,.386,-.018
Alonso, Pete,624413,2019,579,352,.265,.259,.006,.589,.522,.067,.397,.381,.016
Soler, Jorge,624585,2019,576,351,.251,.260,-.009,.533,.549,-.016,.367,.382,-.015
Arenado, Nolan,571448,2019,575,445,.311,.271,.040,.575,.462,.113,.389,.339,.050
Bell, Josh,605137,2019,574,391,.280,.280,.000,.579,.541,.038,.387,.383,.004
Hosmer, Eric,543333,2019,571,409,.285,.268,.017,.456,.423,.033,.333,.320,.013
Bellinger, Cody,641355,2019,571,392,.309,.326,-.017,.651,.634,.017,.430,.440,-.010
Donaldson, Josh,518626,2019,570,340,.259,.263,-.004,.527,.517,.010,.383,.385,-.002
Goldschmidt, Paul,502671,2019,570,370,.256,.265,-.009,.459,.507,-.048,.337,.362,-.025
Marte, Starling,516782,2019,570,442,.295,.307,-.012,.505,.505,.000,.358,.368,-.010
Marte, Ketel,606466,2019,569,439,.320,.293,.027,.571,.485,.086,.399,.362,.037
Suarez, Eugenio,553993,2019,568,343,.261,.237,.024,.546,.463,.083,.369,.341,.028
Martinez, J.D.,502110,2019,568,391,.317,.315,.002,.590,.590,.000,.408,.416,-.008
Machado, Manny,592518,2019,567,400,.267,.262,.005,.479,.447,.032,.346,.337,.009
Chapman, Matt,656305,2019,565,381,.259,.252,.007,.523,.488,.035,.366,.357,.009
Castellanos, Nicholas,592206,2019,565,401,.287,.270,.017,.513,.497,.016,.358,.352,.006
Bryant, Kris,592178,2019,564,363,.282,.244,.038,.516,.445,.071,.381,.347,.034
Mancini, Trey,641820,2019,563,386,.275,.269,.006,.517,.476,.041,.365,.353,.012
Castro, Starlin,516770,2019,563,447,.267,.269,-.002,.407,.410,-.003,.295,.306,-.011
Eaton, Adam,594809,2019,562,405,.288,.274,.014,.436,.401,.035,.353,.339,.014
Choo, Shin-Soo,425783,2019,561,345,.263,.257,.006,.453,.455,-.002,.355,.357,-.002
Pham, Tommy,502054,2019,561,377,.274,.277,-.003,.463,.464,-.001,.359,.365,-.006
Baez, Javier,595879,2019,560,377,.281,.267,.014,.532,.486,.046,.353,.335,.018
Story, Trevor,596115,2019,560,367,.296,.266,.030,.555,.462,.093,.383,.343,.040
Kepler, Max,596146,2019,559,407,.256,.259,-.003,.539,.449,.090,.367,.344,.023
DeJong, Paul,657557,2019,559,376,.243,.242,.001,.451,.426,.025,.331,.329,.002
LeMahieu, DJ,518934,2019,558,439,.335,.319,.016,.538,.514,.024,.389,.381,.008
Rosario, Amed,642708,2019,556,415,.286,.281,.005,.432,.398,.034,.321,.313,.008
Gordon, Alex,460086,2019,555,410,.259,.253,.006,.398,.417,-.019,.317,.329,-.012
Brantley, Michael,488726,2019,555,447,.329,.298,.031,.529,.458,.071,.388,.357,.031
Galvis, Freddy,520471,2019,550,390,.268,.231,.037,.449,.364,.085,.316,.272,.044
Soto, Juan,665742,2019,550,356,.298,.291,.007,.578,.571,.007,.411,.412,-.001
Hernandez, Cesar,514917,2019,549,430,.284,.273,.011,.397,.361,.036,.315,.302,.013
Andrus, Elvis,462101,2019,546,436,.275,.268,.007,.401,.386,.015,.306,.308,-.002
Fletcher, David,664058,2019,546,448,.285,.294,-.009,.391,.373,.018,.319,.322,-.003
Yelich, Christian,592885,2019,546,356,.328,.311,.017,.670,.603,.067,.444,.421,.023
Garcia, Leury,544725,2019,546,396,.273,.244,.029,.375,.345,.030,.293,.274,.019
Conforto, Michael,624424,2019,546,349,.261,.253,.008,.499,.481,.018,.365,.364,.001
Benintendi, Andrew,643217,2019,545,359,.281,.252,.029,.456,.432,.024,.348,.331,.017
Gurriel, Yuli,493329,2019,544,450,.309,.289,.020,.555,.419,.136,.378,.328,.050
Cain, Lorenzo,456715,2019,542,397,.251,.285,-.034,.353,.399,-.046,.296,.333,-.037
Blackmon, Charlie,453568,2019,541,411,.317,.289,.028,.580,.502,.078,.393,.358,.035
Lindor, Francisco,596019,2019,540,419,.296,.276,.020,.531,.451,.080,.365,.336,.029
Pillar, Kevin,607680,2019,539,439,.260,.255,.005,.454,.396,.058,.309,.294,.015
Rizzo, Anthony,519203,2019,538,374,.291,.290,.001,.524,.485,.039,.395,.387,.008
Calhoun, Kole,594777,2019,538,339,.239,.241,-.002,.480,.457,.023,.341,.338,.003
Grichuk, Randal,545341,2019,537,357,.233,.228,.005,.432,.387,.045,.306,.291,.015
Rendon, Anthony,543685,2019,535,393,.337,.321,.016,.639,.592,.047,.434,.422,.012
Muncy, Max,571970,2019,534,312,.253,.270,-.017,.525,.512,.013,.380,.388,-.008
Ahmed, Nick,605113,2019,533,389,.264,.261,.003,.452,.423,.029,.328,.326,.002
Ramirez, Jose,608070,2019,532,406,.254,.268,-.014,.463,.441,.022,.332,.341,-.009
Segura, Jean,516416,2019,531,432,.287,.269,.018,.435,.395,.040,.330,.312,.018
Torres, Gleyber,650402,2019,527,373,.285,.265,.020,.539,.485,.054,.370,.350,.020
Belt, Brandon,474832,2019,527,344,.233,.243,-.010,.401,.440,-.039,.325,.349,-.024
Grandal, Yasmani,518735,2019,523,322,.246,.234,.012,.452,.442,.010,.357,.355,.002
Realmuto, J.T.,592663,2019,523,369,.274,.280,-.006,.476,.459,.017,.338,.346,-.008
Turner, Justin,457759,2019,522,377,.293,.284,.009,.516,.498,.018,.376,.374,.002
Anderson, Brian,605119,2019,520,348,.261,.257,.004,.468,.443,.025,.346,.343,.003
Nunez, Renato,600524,2019,519,352,.247,.249,-.002,.473,.460,.013,.333,.335,-.002
Votto, Joey,458015,2019,518,348,.261,.252,.009,.409,.428,-.019,.330,.338,-.008
Puig, Yasiel,624577,2019,518,364,.252,.259,-.007,.458,.452,.006,.324,.329,-.005
