last_name, first_name,player_id,attempts,avg_hit_angle,anglesweetspotpercent,max_hit_speed,avg_hit_speed,fbld,gb,max_distance,avg_distance,avg_hr_distance,ev95plus,ev95percent,barrels,brl_percent,brl_pa
Cashner, Andrew,488768,427,9.2,31.6,120.6,89.4,94.5,86.0,441,166,410,175,41.0,35,8.2,6.1
Armenteros, Rogelio,660494,52,14.2,32.7,118.9,86.0,91.4,82.7,398,173,398,15,28.8,2,3.8,2.7
Nova, Ivan,467100,546,10.1,34.4,118.9,88.3,93.6,84.6,431,160,392,212,39.0,40,7.3,5.8
Adams, Chance,664856,77,14.0,28.6,118.7,88.4,91.5,85.5,411,176,385,25,32.5,7,9.1,6.5
German, Domingo,593334,372,15.0,37.6,118.3,89.1,94.2,84.5,441,190,395,148,39.8,33,8.9,6.0
Hamels, Cole,430935,369,10.3,29.5,118.3,89.2,94.7,85.4,454,162,410,148,40.1,27,7.3,5.0
Morin, Mike,573046,139,11.5,38.1,118.3,85.2,90.7,80.7,412,171,387,36,26.3,7,5.0,4.2
Cobb, Alex,502171,50,6.4,42.0,118.1,94.9,104.1,87.6,438,184,411,30,60.0,13,26.0,21.7
Samardzija, Jeff,502188,466,15.8,35.2,117.9,89.0,93.5,84.5,440,193,403,175,37.6,39,8.4,6.1
Wheeler, Zack,554430,482,10.6,34.2,117.6,86.6,90.7,83.5,447,165,405,160,33.2,30,6.2,4.4
Stripling, Ross,548389,227,10.0,23.3,117.4,88.1,93.8,85.7,415,154,401,88,38.8,16,7.0,4.9
Giolito, Lucas,608337,387,17.1,37.5,117.0,87.8,92.7,84.1,473,182,406,134,34.6,36,9.3,5.5
Chatwood, Tyler,543022,187,6.4,37.4,117.0,86.9,90.0,86.2,418,148,390,65,34.8,6,3.2,2.0
Alexander, Tyler,641302,110,15.5,33.6,116.8,90.1,94.7,86.8,450,183,403,41,37.3,8,7.3,5.6
Kolarek, Adam,592473,153,-0.1,24.2,116.8,86.6,92.0,84.9,402,117,378,54,35.3,9,5.9,4.2
Fillmyer, Heath,641571,58,14.8,34.5,116.6,93.6,95.2,94.6,396,177,375,29,50.9,6,10.3,8.3
Rogers, Taylor,573124,146,7.8,27.4,116.4,86.9,92.3,83.5,419,151,406,40,28.6,11,7.5,4.6
Richard, Clayton,453385,157,5.3,30.6,116.4,91.7,94.0,91.5,439,141,398,78,49.7,15,9.6,7.5
Freeland, Kyle,607536,335,9.3,34.3,116.3,89.0,93.0,86.5,451,168,406,134,40.1,31,9.3,6.9
