Name,Team,Age,,GS,IP,WAR,,ERA,WHIP,FIP,E-F,xFIP,,SwStr%,K/9,BB/9,K/BB,,BABIP,LOB%,HR/FB,GB/FB
Kirby Yates,Padres,32,,0,60.2,3.4,,1.19,0.89,1.3,-0.12,2.25,,15.70%,14.98,1.93,7.77,,0.325,80.80%,4.80%,1.38
Jacob Webb,Braves,25,,0,32.1,0.2,,1.39,1.11,4.3,-2.9,5.15,,13.10%,7.79,3.34,2.33,,0.233,86.00%,10.00%,0.85
Will Harris,Astros,34,,0,60,1.1,,1.5,0.93,3.15,-1.65,3.04,,12.20%,9.3,2.1,4.43,,0.245,88.20%,16.70%,2.31
Felipe Vazquez,Pirates,27,,0,60,2.1,,1.65,0.93,2.15,-0.5,2.62,,14.30%,13.5,1.95,6.92,,0.306,90.60%,10.60%,1.15
Liam Hendriks,Athletics,30,,2,86,3.8,,1.78,0.95,1.84,-0.06,3.19,,17.50%,13.19,2.2,6,,0.309,85.70%,5.50%,0.63
Tyler Glasnow,Rays,25,,12,60.2,2.3,,1.78,0.89,2.26,-0.48,2.94,,12.00%,11.27,2.08,5.43,,0.265,84.70%,8.50%,1.49
Ken Giles,Blue Jays,28,,0,53,1.8,,1.87,1,2.27,-0.4,2.73,,18.80%,14.09,2.89,4.88,,0.301,91.30%,11.10%,0.93
Brandon Workman,Red Sox,30,,0,71.2,2.1,,1.88,1.03,2.46,-0.58,3.33,,12.80%,13.06,5.65,2.31,,0.209,77.80%,2.60%,1.79
Adam Ottavino,Yankees,33,,0,66.1,1.3,,1.9,1.31,3.44,-1.54,4.32,,11.30%,11.94,5.43,2.2,,0.284,87.80%,8.10%,0.97
Zack Britton,Yankees,31,,0,61.1,0.9,,1.91,1.14,3.74,-1.83,3.59,,10.70%,7.78,4.7,1.66,,0.224,86.80%,20.00%,8.13
Aaron Bummer,White Sox,25,,0,67.2,1.3,,2.13,0.99,3.41,-1.28,3.49,,10.70%,7.98,3.19,2.5,,0.228,82.30%,13.80%,4.28
Casey Sadler,- - -,28,,1,46.1,0.1,,2.14,1.17,4.38,-2.24,4.78,,9.20%,6.02,2.53,2.38,,0.255,86.30%,11.90%,1.74
Aroldis Chapman,Yankees,31,,0,57,2,,2.21,1.11,2.28,-0.07,2.86,,14.10%,13.42,3.95,3.4,,0.289,76.90%,8.30%,1.42
Scott Oberg,Rockies,29,,0,56,1.1,,2.25,1.11,3.54,-1.29,3.9,,12.30%,9.32,3.7,2.52,,0.248,80.00%,11.60%,1.58
Shane Greene,- - -,30,,0,62.2,0.9,,2.3,1.01,3.79,-1.49,3.97,,11.50%,9.19,2.44,3.76,,0.238,80.30%,13.80%,1.33
Giovanny Gallegos,Cardinals,27,,0,74,1.6,,2.31,0.81,3.05,-0.74,3.59,,16.40%,11.31,1.95,5.81,,0.222,87.30%,11.40%,0.71
Emilio Pagan,Rays,28,,0,70,1.5,,2.31,0.83,3.3,-0.99,3.15,,17.70%,12.34,1.67,7.38,,0.228,94.80%,16.40%,0.73
Hyun-Jin Ryu,Dodgers,32,,29,182.2,4.8,,2.32,1.01,3.1,-0.78,3.32,,11.40%,8.03,1.18,6.79,,0.278,82.20%,13.00%,1.98
Ryan Pressly,Astros,30,,0,54.1,1.5,,2.32,0.9,2.66,-0.34,2.21,,17.70%,11.93,1.99,6,,0.256,83.70%,22.20%,2.37
Aaron Civale,Indians,24,,10,57.2,1.5,,2.34,1.04,3.4,-1.06,4.61,,8.80%,7.18,2.5,2.88,,0.25,77.60%,6.60%,1.08
Jacob deGrom,Mets,31,,32,204,7,,2.43,0.97,2.67,-0.25,3.11,,15.40%,11.25,1.94,5.8,,0.282,81.80%,11.20%,1.28
Rowan Wick,Cubs,26,,0,33.1,0.7,,2.43,1.14,2.82,-0.39,4.38,,11.60%,9.45,4.32,2.19,,0.256,68.30%,0.00%,1.77
Rich Hill,Dodgers,39,,13,58.2,0.9,,2.45,1.13,4.1,-1.65,3.41,,10.80%,11.05,2.76,4,,0.275,89.30%,22.20%,1.56
Daniel Hudson,- - -,32,,1,73,0.9,,2.47,1.14,3.97,-1.5,5.08,,9.90%,8.75,3.33,2.63,,0.247,81.80%,8.60%,0.8
Hansel Robles,Angels,28,,1,72.2,1.8,,2.48,1.02,2.88,-0.41,3.89,,12.30%,9.29,1.98,4.69,,0.28,82.30%,7.90%,0.96
Julio Urias,Dodgers,22,,8,79.2,1.4,,2.49,1.08,3.43,-0.94,4.28,,13.80%,9.6,3.05,3.15,,0.257,77.60%,8.80%,0.99
Evan Marshall,White Sox,29,,0,50.2,0.5,,2.49,1.3,4.3,-1.81,4.67,,11.40%,7.28,4.26,1.71,,0.266,84.80%,11.90%,1.74
Tyler Duffey,Twins,28,,0,57.2,1.2,,2.5,1.01,3.06,-0.56,2.94,,15.40%,12.8,2.18,5.86,,0.275,76.30%,16.30%,1.04
Gerrit Cole,Astros,28,,33,212.1,7.4,,2.5,0.89,2.64,-0.14,2.48,,16.80%,13.82,2.03,6.79,,0.275,83.30%,16.90%,1.02
Justin Wilson,Mets,31,,0,39,0.3,,2.54,1.33,3.91,-1.37,3.95,,11.90%,10.15,4.38,2.32,,0.299,86.80%,14.80%,1.85
Justin Verlander,Astros,36,,34,223,6.4,,2.58,0.8,3.27,-0.68,3.18,,16.10%,12.11,1.7,7.14,,0.218,88.40%,16.00%,0.8
Taylor Rogers,Twins,28,,0,69,2.1,,2.61,1,2.85,-0.24,2.84,,11.00%,11.74,1.43,8.18,,0.307,86.20%,15.40%,1.62
Josh Hader,Brewers,25,,0,75.2,2.3,,2.62,0.81,3.1,-0.48,2.36,,22.90%,16.41,2.38,6.9,,0.232,93.20%,21.40%,0.4
Frankie Montas,Athletics,26,,16,96,3,,2.63,1.11,3,-0.37,3.47,,11.50%,9.66,2.16,4.48,,0.297,76.20%,10.70%,1.73
Roberto Osuna,Astros,24,,0,65,1.6,,2.63,0.88,3.21,-0.58,3.6,,16.90%,10.11,1.66,6.08,,0.234,81.60%,12.30%,0.98
Zack Littell,Twins,23,,0,37,0.6,,2.68,1.16,3.62,-0.94,4.1,,12.90%,7.78,2.19,3.56,,0.297,82.90%,11.40%,1.14
Mike Soroka,Braves,21,,29,174.2,4,,2.68,1.11,3.45,-0.78,3.85,,10.30%,7.32,2.11,3.46,,0.28,79.90%,11.10%,2.02
Brandon Kintzler,Cubs,34,,0,57,0.8,,2.68,1.04,3.56,-0.88,4.06,,8.00%,7.58,2.05,3.69,,0.261,80.40%,10.60%,1.87
Seth Lugo,Mets,29,,0,80,2.2,,2.7,0.9,2.7,0,3.24,,11.30%,11.7,1.8,6.5,,0.265,74.50%,10.80%,1.09
Yusmeiro Petit,Athletics,34,,0,83,1.4,,2.71,0.81,3.59,-0.88,4.48,,11.40%,7.7,1.08,7.1,,0.213,81.40%,10.10%,0.61
Mike Clevinger,Indians,28,,21,126,4.6,,2.71,1.06,2.49,0.22,3.09,,15.20%,12.07,2.64,4.57,,0.306,80.20%,9.70%,1.15
Alec Mills,Cubs,27,,4,36,0.4,,2.75,1.17,4.19,-1.44,3.98,,12.50%,10.5,2.75,3.82,,0.299,90.50%,17.20%,1.55
Jack Flaherty,Cardinals,23,,33,196.1,4.8,,2.75,0.97,3.46,-0.71,3.64,,13.80%,10.59,2.52,4.2,,0.242,83.30%,13.80%,1.03
Will Smith,Giants,29,,0,65.1,1.2,,2.76,1.03,3.23,-0.47,2.73,,15.60%,13.22,2.89,4.57,,0.277,88.70%,20.40%,1.18
Alex Colome,White Sox,30,,0,61,0.6,,2.8,1.07,4.08,-1.28,4.61,,13.10%,8.11,3.39,2.39,,0.215,67.60%,11.30%,1.23
Nick Wittgren,Indians,28,,0,57.2,0.4,,2.81,1.08,4.17,-1.36,3.98,,9.00%,9.36,2.34,4,,0.253,83.30%,16.70%,0.98
Zac Gallen,- - -,23,,15,80,1.6,,2.81,1.23,3.61,-0.8,4.15,,12.80%,10.8,4.05,2.67,,0.284,83.70%,10.80%,1.04
Reyes Moronta,Giants,26,,0,56.2,0.7,,2.86,1.31,3.57,-0.71,4.83,,12.00%,11.12,5.24,2.12,,0.272,81.20%,6.50%,0.84
Sonny Gray,Reds,29,,31,175.1,4.4,,2.87,1.08,3.42,-0.54,3.65,,11.30%,10.52,3.49,3.01,,0.255,79.70%,13.00%,1.63
Jimmy Cordero,- - -,27,,0,37.1,0.3,,2.89,0.99,4.07,-1.18,3.69,,14.60%,7.47,2.65,2.82,,0.227,81.40%,21.10%,3.16
Tyler Clippard,Indians,34,,3,62,0.7,,2.9,0.85,3.89,-0.99,4.94,,13.90%,9.29,2.18,4.27,,0.204,82.00%,9.40%,0.56
Michael Lorenzen,Reds,27,,0,83.1,1.2,,2.92,1.15,3.66,-0.74,3.97,,13.90%,9.18,3.02,3.04,,0.269,80.80%,12.50%,1.38
Max Scherzer,Nationals,34,,27,172.1,6.5,,2.92,1.03,2.45,0.48,2.88,,16.40%,12.69,1.72,7.36,,0.321,78.70%,11.60%,1.07
Tony Gonsolin,Dodgers,25,,6,40,0.6,,2.93,1.03,3.86,-0.94,4.9,,12.00%,8.33,3.38,2.47,,0.208,74.20%,8.50%,0.96
Hector Neris,Phillies,30,,0,67.2,1,,2.93,1.02,3.83,-0.91,3.53,,17.70%,11.84,3.19,3.71,,0.24,83.60%,18.20%,1.27
Zack Greinke,- - -,35,,33,208.2,5.4,,2.93,0.98,3.22,-0.29,3.74,,10.50%,8.07,1.29,6.23,,0.271,75.70%,10.90%,1.36
Luke Weaver,Diamondbacks,25,,12,64.1,1.8,,2.94,1.07,3.07,-0.14,3.87,,10.50%,9.65,1.96,4.93,,0.292,78.60%,9.20%,1.08
Trevor May,Twins,29,,0,64.1,0.9,,2.94,1.07,3.73,-0.79,4.15,,13.20%,11.05,3.64,3.04,,0.233,79.00%,12.10%,0.8
Ryan Helsley,Cardinals,24,,0,36.2,0.1,,2.95,1.25,4.22,-1.28,5.11,,10.20%,7.85,2.95,2.67,,0.279,84.60%,10.20%,0.73
Steve Cishek,Cubs,33,,0,64,0.2,,2.95,1.2,4.54,-1.59,4.95,,9.40%,8.02,4.08,1.97,,0.246,83.60%,11.90%,1.46
Hunter Wood,- - -,25,,2,45.1,0.2,,2.98,1.28,4.36,-1.38,5.12,,12.40%,7.74,2.38,3.25,,0.287,79.30%,11.10%,0.71
Ryan Buchter,Athletics,32,,0,45.1,-0.1,,2.98,1.43,4.96,-1.98,5.08,,11.60%,9.93,4.57,2.17,,0.296,91.40%,14.50%,0.55
Jarlin Garcia,Marlins,26,,0,50.2,0.5,,3.02,1.11,3.77,-0.75,4.74,,8.80%,6.93,2.84,2.44,,0.248,78.20%,7.80%,1.33
Clayton Kershaw,Dodgers,31,,28,178.1,3.4,,3.03,1.04,3.86,-0.83,3.5,,12.90%,9.54,2.07,4.61,,0.262,84.00%,18.50%,1.46
Josh Taylor,Red Sox,26,,1,47.1,0.9,,3.04,1.18,3.11,-0.07,3.37,,15.20%,11.79,3.04,3.88,,0.321,80.40%,12.80%,1.28
