Name,Team,Age,,GS,IP,,ERA,WHIP,FIP,E-F,xFIP,,SwStr%,K/9,BB/9,K/BB,,BABIP,LOB%,HR/FB,GB/FB
Kirby Yates,Padres,32,,0,57.2,,1.25,0.9,1.27,-0.02,2.17,,15.70%,14.98,1.87,8,,0.33,79.70%,5.10%,1.44
Jacob Webb,Braves,25,,0,32.1,,1.39,1.11,4.3,-2.9,5.15,,13.10%,7.79,3.34,2.33,,0.233,86.00%,10.00%,0.85
Liam Hendriks,Athletics,30,,2,77.1,,1.63,0.94,1.8,-0.18,3.27,,17.20%,13.03,2.21,5.89,,0.307,87.90%,4.80%,0.59
Will Harris,Astros,34,,0,54.2,,1.65,0.99,3.31,-1.66,3.08,,12.20%,9.22,2.14,4.31,,0.257,87.70%,18.20%,2.33
Felipe Vazquez,Pirates,27,,0,58,,1.71,0.93,2.16,-0.46,2.65,,14.30%,13.5,1.86,7.25,,0.308,90.20%,10.60%,1.06
Adam Ottavino,Yankees,33,,0,61.1,,1.76,1.26,3.49,-1.73,4.31,,11.10%,11.89,5.28,2.25,,0.271,91.70%,8.60%,0.88
Aaron Civale,Indians,24,,8,46.2,,1.93,1.05,2.98,-1.05,4.55,,9.20%,7.33,2.31,3.17,,0.267,78.40%,4.00%,1.04
Casey Sadler,- - -,28,,0,41.2,,1.94,1.08,4.13,-2.18,4.69,,8.40%,6.05,2.16,2.8,,0.252,89.90%,10.50%,1.66
Ken Giles,Blue Jays,28,,0,45,,2,1.07,2.13,-0.13,2.74,,19.40%,14.6,3,4.87,,0.33,89.60%,10.00%,0.85
Zack Britton,Yankees,31,,0,56.1,,2.08,1.22,4,-1.92,3.83,,10.00%,7.51,5.11,1.47,,0.231,86.60%,20.00%,7.6
Brandon Workman,Red Sox,30,,0,63,,2.14,1.03,2.52,-0.37,3.38,,12.70%,12.86,5.57,2.31,,0.208,77.70%,2.90%,1.79
Tyler Glasnow,Rays,25,,9,50.1,,2.15,0.93,2.52,-0.37,2.99,,12.10%,10.73,1.97,5.45,,0.274,82.10%,10.50%,1.61
Emilio Pagan,Rays,28,,0,61.2,,2.19,0.83,3.25,-1.06,3.2,,17.10%,12.41,1.9,6.54,,0.222,94.70%,15.60%,0.72
Aaron Bummer,White Sox,25,,0,57,,2.21,1.04,3.64,-1.42,3.63,,10.30%,7.89,3.32,2.38,,0.234,83.30%,15.40%,3.96
Shane Greene,- - -,30,,0,56.1,,2.24,0.99,3.62,-1.39,3.77,,11.70%,9.75,2.56,3.81,,0.236,78.80%,14.00%,1.44
Scott Oberg,Rockies,29,,0,56,,2.25,1.11,3.54,-1.29,3.9,,12.30%,9.32,3.7,2.52,,0.248,80.00%,11.60%,1.58
Giovanny Gallegos,Cardinals,27,,0,63.1,,2.27,0.79,2.76,-0.48,3.43,,17.00%,11.94,1.85,6.46,,0.227,85.70%,10.40%,0.69
Aroldis Chapman,Yankees,31,,0,53.2,,2.35,1.14,2.45,-0.1,3.02,,13.90%,13.25,4.19,3.16,,0.287,76.10%,8.60%,1.37
Hyun-Jin Ryu,Dodgers,32,,26,161.2,,2.45,1.06,3.18,-0.73,3.45,,11.20%,7.91,1.34,5.92,,0.285,81.20%,12.50%,1.93
Taylor Rogers,Twins,28,,0,62.1,,2.45,1.03,2.88,-0.42,3.05,,10.70%,11.55,1.44,8,,0.315,88.00%,13.70%,1.45
Julio Urias,Dodgers,22,,8,72.2,,2.48,1.09,3.54,-1.07,4.37,,13.60%,9.17,2.85,3.22,,0.258,77.90%,9.20%,0.97
Hansel Robles,Angels,28,,1,65.1,,2.48,1.04,2.88,-0.4,4.05,,11.90%,9.09,2.07,4.4,,0.284,82.00%,7.00%,0.9
Justin Wilson,Mets,31,,0,32.2,,2.48,1.26,3.98,-1.5,3.67,,12.80%,9.92,3.58,2.77,,0.296,88.20%,19.00%,1.95
Alex Colome,White Sox,30,,0,54,,2.5,1,3.94,-1.44,4.72,,12.50%,7.67,3.5,2.19,,0.197,70.80%,9.30%,1.24
Brandon Kintzler,Cubs,34,,0,54,,2.5,0.98,3.6,-1.1,3.84,,8.20%,7.67,2.17,3.54,,0.243,81.60%,12.80%,2.15
Zac Gallen,- - -,23,,13,68.1,,2.5,1.23,3.35,-0.84,4.14,,13.00%,10.8,4.21,2.56,,0.29,84.00%,8.30%,1.07
Ryan Pressly,Astros,30,,0,50.1,,2.5,0.93,2.84,-0.33,2.32,,17.30%,11.62,1.97,5.91,,0.261,82.90%,23.10%,2.35
Justin Verlander,Astros,36,,30,200,,2.52,0.77,3.35,-0.83,3.3,,16.00%,11.88,1.62,7.33,,0.204,89.60%,15.60%,0.75
Tyler Clippard,Indians,34,,2,56.2,,2.54,0.81,3.3,-0.76,4.65,,13.80%,9.53,2.06,4.62,,0.211,80.40%,7.00%,0.66
Rich Hill,Dodgers,39,,10,53,,2.55,1.11,4.16,-1.61,3.36,,10.40%,10.36,2.04,5.08,,0.28,89.40%,22.70%,1.5
Tyler Duffey,Twins,28,,0,49.1,,2.55,1.09,3.23,-0.68,3.17,,14.40%,12.59,2.55,4.93,,0.284,75.80%,15.90%,1
Max Scherzer,Nationals,34,,24,154.2,,2.56,1,2.32,0.24,2.91,,16.70%,12.57,1.75,7.2,,0.316,80.80%,10.10%,1.09
Josh Hader,Brewers,25,,0,66,,2.59,0.79,3.06,-0.47,2.37,,22.80%,16.5,2.45,6.72,,0.219,92.40%,21.00%,0.39
Mike Soroka,Braves,21,,26,158.2,,2.67,1.11,3.5,-0.84,3.86,,10.00%,7.15,2.04,3.5,,0.279,80.10%,11.50%,2.12
Frankie Montas,Athletics,26,,15,90,,2.7,1.12,2.9,-0.2,3.42,,11.50%,9.7,2.1,4.62,,0.302,74.60%,10.10%,1.83
Nick Wittgren,Indians,28,,0,53.1,,2.7,1.05,3.93,-1.23,3.99,,8.90%,9.11,2.36,3.86,,0.252,82.60%,14.80%,1
Nick Goody,Indians,27,,0,36.2,,2.7,1.23,4.41,-1.71,4.89,,16.20%,10.8,4.42,2.44,,0.244,87.40%,12.50%,0.5
Jacob deGrom,Mets,31,,29,183,,2.7,1.03,2.84,-0.14,3.21,,15.50%,11.36,2.11,5.37,,0.292,80.70%,12.00%,1.19
Mike Clevinger,Indians,28,,17,99.1,,2.72,1.04,2.49,0.23,2.93,,15.50%,12.59,2.9,4.34,,0.3,80.00%,10.80%,1.26
Gerrit Cole,Astros,28,,29,184.1,,2.73,0.92,2.8,-0.07,2.51,,16.60%,13.72,2.1,6.53,,0.275,81.80%,18.10%,1.05
Amir Garrett,Reds,27,,0,52.2,,2.73,1.37,3.94,-1.2,3.7,,15.90%,12.65,5.64,2.24,,0.295,85.60%,18.20%,1.88
Sonny Gray,Reds,29,,28,157.1,,2.75,1.1,3.37,-0.63,3.65,,11.30%,10.35,3.43,3.02,,0.261,80.80%,12.50%,1.64
Yusmeiro Petit,Athletics,34,,0,74.1,,2.78,0.82,3.67,-0.89,4.65,,11.40%,7.26,0.97,7.5,,0.216,80.90%,9.80%,0.58
Seth Lugo,Mets,29,,0,71,,2.79,0.92,2.78,0.01,3.4,,11.40%,11.54,2.03,5.69,,0.259,72.60%,10.30%,1.01
Tony Gonsolin,Dodgers,25,,6,32,,2.81,1.03,3.68,-0.87,4.95,,12.00%,7.59,2.81,2.7,,0.222,72.90%,7.50%,0.95
Daniel Hudson,- - -,32,,1,63,,2.86,1.21,4.29,-1.44,5.17,,10.10%,9,3.71,2.42,,0.251,79.90%,10.00%,0.81
Reyes Moronta,Giants,26,,0,56.2,,2.86,1.31,3.57,-0.71,4.83,,12.00%,11.12,5.24,2.12,,0.272,81.20%,6.50%,0.84
Oliver Perez,Indians,37,,0,37.2,,2.87,1.17,3.24,-0.37,3.71,,12.60%,10.75,2.39,4.5,,0.313,79.70%,11.40%,1.23
Hunter Wood,- - -,25,,2,40.2,,2.88,1.33,4.2,-1.32,4.92,,13.00%,8.19,2.43,3.36,,0.303,79.40%,11.10%,0.74
David Hale,Yankees,31,,0,37.1,,2.89,1.15,3.29,-0.4,4.57,,7.90%,5.3,1.45,3.67,,0.287,77.70%,5.40%,1.68
Ryan Buchter,Athletics,32,,0,40.1,,2.9,1.46,4.53,-1.63,4.82,,11.80%,10.49,4.69,2.24,,0.317,89.40%,13.30%,0.58
Josh Taylor,Red Sox,26,,1,43.1,,2.91,1.2,2.66,0.25,3.32,,15.40%,11.84,3.12,3.8,,0.333,78.30%,8.80%,1.38
Jarlin Garcia,Marlins,26,,0,43.1,,2.91,1.06,3.79,-0.88,4.61,,9.40%,7.48,2.7,2.77,,0.244,80.20%,9.10%,1.34
Yoan Lopez,Diamondbacks,26,,0,55.1,,2.93,1.1,4.86,-1.93,4.54,,10.00%,6.02,2.6,2.31,,0.224,80.60%,18.00%,1.5
Hector Neris,Phillies,30,,0,61,,2.95,1.03,3.84,-0.89,3.52,,17.90%,11.8,3.1,3.81,,0.248,83.30%,18.40%,1.39
