Name,BBE,,LA,SwSp%,,EV Max,EV Avg,EV FB/LD,EV GB,,Dist Max,Dist Avg,Dist Avg HR,,95+,95+ %,,Barrels,Barrels / BBE %,Barrels / PA %
Andrew Cashner,437,,9.5,31.6,,120.6,89.3,94.4,85.8,,441,167,407,,178,40.7,,35,8,5.9
Ivan Nova,586,,10.3,34.5,,118.9,88.5,93.8,84.6,,440,161,396,,231,39.6,,45,7.7,6.1
Rogelio Armenteros,52,,14.2,32.7,,118.9,86,91.4,82.7,,398,173,398,,15,28.8,,2,3.8,2.7
Chance Adams,82,,14.7,30.5,,118.7,88.9,91.9,85.5,,411,184,385,,27,32.9,,8,9.8,7
Cole Hamels,395,,10.6,29.9,,118.3,89.2,94.6,85.3,,454,165,410,,160,40.5,,30,7.6,5.1
Domingo German,382,,14.8,37.7,,118.3,89.1,94.1,84.5,,441,190,395,,153,40.1,,34,8.9,6
Mike Morin,151,,13.2,36.4,,118.3,85.1,90.4,80.8,,412,173,387,,39,26.2,,7,4.6,3.8
Alex Cobb,50,,6.4,42,,118.1,94.9,104.1,87.6,,438,184,411,,30,60,,13,26,21.7
Reggie McClain,55,,-2.1,27.3,,117.9,92.3,94.2,91.1,,385,119,357,,26,47.3,,3,5.5,4
Jeff Samardzija,486,,16.2,35,,117.9,89,93.6,84.5,,440,193,405,,181,37.3,,41,8.4,6.2
Scott Barlow,158,,14.9,36.1,,117.9,87.4,92,82.4,,470,198,406,,56,35.4,,11,7,4
Zack Wheeler,520,,10.5,34.4,,117.6,86.5,90.5,83.4,,447,165,405,,171,32.9,,30,5.8,4
Ross Stripling,241,,10.2,23.7,,117.4,88.4,93.9,85.8,,415,155,401,,92,38.2,,17,7.1,4.9
Tyler Chatwood,197,,5.4,36,,117,87.1,89.9,86.8,,418,141,390,,70,35.5,,6,3,1.9
Lucas Giolito,405,,17.2,37,,117,87.7,92.7,84.1,,473,182,406,,140,34.6,,37,9.1,5.4
Tyler Alexander,125,,15.9,32,,116.8,89.7,94.7,85.1,,450,187,399,,46,36.8,,9,7.2,5.4
Adam Kolarek,160,,0.3,23.8,,116.8,86.8,92.2,85.1,,430,117,385,,56,35,,10,6.3,4.5
Heath Fillmyer,64,,14.6,32.8,,116.6,93.2,94.6,94.7,,396,175,375,,31,49.2,,6,9.4,7.5
Taylor Rogers,156,,8,28.8,,116.4,86.6,92.2,82.9,,419,153,400,,44,29.3,,12,7.7,4.8
Clayton Richard,157,,5.3,30.6,,116.4,91.7,94,91.5,,439,141,398,,78,49.7,,15,9.6,7.5
Joe Biagini,191,,9,38.2,,116.3,88.2,92.8,84.3,,448,168,402,,64,33.5,,17,8.9,6.2
Ryne Stanek,184,,17.4,38,,116.3,89.5,94.6,83.7,,442,206,413,,72,39.3,,17,9.2,5.8
Kyle Freeland,335,,9.3,34.3,,116.3,89,93,86.5,,451,168,406,,134,40.1,,31,9.3,6.9
German Marquez,506,,6.3,34.2,,116.3,90.2,93.6,87.6,,469,160,407,,218,43.1,,40,7.9,5.5
Jack Flaherty,422,,15.4,34.4,,116.3,86.4,91.6,83.1,,431,182,399,,135,32,,30,7.1,4.5
Jose Suarez,230,,15,37,,116.2,87.5,93,83.4,,451,185,395,,84,36.5,,20,8.7,6.1
Jon Gray,427,,7.5,31.6,,116.2,88.9,92.9,87,,470,151,407,,186,43.6,,25,5.9,3.9
Alex Colome,147,,9.7,34,,116.1,90.7,93.8,87.9,,408,175,401,,60,40.8,,14,9.5,6.5
Rick Porcello,530,,15.7,35.1,,116.1,88.1,93.7,82.8,,452,186,396,,195,36.8,,53,10,7.5
Adam Plutko,317,,20.1,36.3,,116,88.1,92.3,84.8,,449,200,398,,101,31.9,,22,6.9,5.4
Tyler Webb,131,,15.1,34.4,,116,85.7,90.4,81.9,,414,176,395,,38,29.5,,7,5.3,3.6
Joakim Soria,167,,14.1,36.5,,116,87.4,93.7,82,,467,180,413,,58,35.8,,16,9.6,6.1
Wade Davis,128,,14.8,37.5,,115.9,89.4,91.6,88.6,,449,175,414,,44,34.4,,10,7.8,5.1
Luke Jackson,168,,1.7,27.4,,115.9,87.9,92.6,85.9,,446,131,415,,58,34.5,,13,7.7,4.5
Alex Wood,113,,12,42.5,,115.9,87.8,92.6,82,,463,189,395,,38,33.6,,11,9.7,7.2
Tanner Anderson,79,,8.1,27.8,,115.9,88.6,97.6,84.5,,427,148,400,,34,43,,9,11.4,8.6
Ariel Jurado,405,,9.1,34.3,,115.8,88.9,93.8,85.2,,447,167,404,,173,42.9,,41,10.1,7.8
Jake McGee,125,,15.9,43.2,,115.8,89.3,94.6,84.7,,443,211,403,,50,40,,12,9.6,7.1
Edwin Jackson,219,,10.5,41.1,,115.7,90.7,95.2,86.4,,450,187,393,,95,43.4,,27,12.3,9.2
Jordan Zimmermann,337,,13.1,37.7,,115.6,89.3,94.2,85.6,,458,182,396,,129,38.3,,31,9.2,7.1
Chad Bettis,219,,2.2,26.5,,115.6,89.6,95.9,87.4,,425,123,396,,90,41.1,,12,5.5,4.2
Yu Darvish,397,,12,32.5,,115.5,88.2,93.7,84,,459,174,404,,153,38.5,,31,7.8,4.8
