Job Code,Project,Element,Description,Vendor,Part#,Quantity,Cost,PO,DateToArrive,DateReceived
18-104,Project One,-3,Part 1,McMaster-Carr,393570,39,22680,PO #00001,,
18-104,Project One,-9,Part 2,Amazon,253961,32,12428,PO #00002,,
18-104,Project One,-7,Part 3,Global Industrial,580346,10,20712,PO #00003,,
18-104,Project One,-9,Part 4,Crosscut,945351,26,17886,PO #00004,,
18-104,Project One,-2,Part 5,Pacer,209065,70,6348,PO #00005,,
18-104,Project One,-4,Part 6,Expeditors,102153,56,13047,PO #00006,,
18-104,Project One,-3,Part 7,McMaster-Carr,611509,7,19895,PO #00007,,
18-104,Project One,-8,Part 8,Amazon,471431,16,573,PO #00008,,
18-104,Project One,-9,Part 9,Global Industrial,794459,52,9267,PO #00009,,
18-104,Project One,-3,Part 10,Crosscut,915710,73,19400,PO #00010,,
18-104,Project One,-6,Part 11,Pacer,591419,64,4014,PO #00011,,
18-104,Project One,-6,Part 12,Global Industrial,541004,92,17785,PO #00012,,
18-104,Project One,-6,Part 13,Crosscut,750998,30,13359,PO #00013,,
18-104,Project One,-5,Part 14,Pacer,565569,81,18741,PO #00014,,
18-104,Project One,-2,Part 15,Expeditors,566465,66,1927,PO #00015,,
18-104,Project One,-2,Part 16,Scuffmaster,621867,1,2818,PO #00016,,
18-104,Project One,-1,Part 17,Chemetal,240551,47,8544,PO #00017,,
18-104,Project One,-3,Part 18,Souers,499889,68,9361,PO #00018,,
18-104,Project One,-10,Part 19,McMaster-Carr,850922,11,5706,PO #00019,,
18-104,Project One,-8,Part 20,Amazon,905368,75,5454,PO #00020,,
18-104,Project One,-5,Part 21,Global Industrial,480837,16,7071,PO #00021,,
18-104,Project One,-5,Part 22,Crosscut,269158,1,1259,PO #00022,,
18-104,Project One,-5,Part 23,Global Industrial,888167,7,12105,PO #00023,,
18-104,Project One,-4,Part 24,Crosscut,390220,54,9067,PO #00024,,
